Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,,
 XAO 4414.5 at 16:35 9/7/2010  Report at 19:06 Friday 9/7/2010. Processed 20:49 Friday 9/7/2010.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move,
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobiles & Components,,,,,,,,,,,,,,,,,,,,,,
  opt dec11,ASCO,0.003,-,0.003,0.004,-,-,-,0.003,0.003,0.005,0.002,-,,-,-,-,-,-,-,-,
AMA Grp Ltd,AMA,0.04,-,0.039,0.043,50,0.04,0.04,0.045,0.04,0.078,0.019,-,,-,-0.09,-,7.75,0.5,-0.3,-6.98,
AP Eagers Ltd,APE,12.50,-,12.50,13.00,57,12.50,12.50,12.50,12.50,13.55,8.10,62,f,1.96,8.81,4.96,121.6,10.3,-,-,
ARB Corp,ARP,5.91,6,5.84,5.91,201,5.91,5.72,5.91,5.60,6.40,3.343,17.5,f,2.31,1.22,2.96,40.44,14.6,16.0,2.78,
Automotive Hldgs,AHE,2.30,-1,2.30,2.35,1224,2.34,2.28,2.37,2.22,2.88,1.41,17,f,1.66,0.75,7.39,28.14,8.2,4.0,1.77,
Beyond Sportswear,BSI,0.01,-,0.002,0.02,-,-,-,0.01,0.01,0.036,0.007,-,,-,-0.01,-,-0.57,-,-,-,
Breville Grp Ltd,BRG,2.12,-,2.10,2.11,-,-,-,2.14,2.11,2.45,0.86,7.5,,1.68,0.59,3.54,12.62,16.8,1.0,0.47,
Cash Convert ord/div   ,CCV,0.58,1.5,0.575,0.58,1464,0.58,0.565,0.58,0.535,0.71,0.425,3,f,2.32,0.23,5.17,6.97,8.3,4.0,7.41,
Country Road Ltd,CTY,3.72,-,3.00,-,-,-,-,3.72,3.72,4.00,3.169,13.32,f,1.57,0.97,3.58,20.85,17.8,-,-,
David Jones Ltd,DJS,4.49,-2,4.48,4.50,33891,4.53,4.45,4.53,4.32,5.96,4.10,29,f,1.14,1.22,6.46,33,13.6,13.0,2.98,
