Derivatives: Put Options - Weekly
"Traded positions for the week ending Friday, September 18, 2015"
"Report at Friday, September 18, 2015. Processed Monday at 21/09/2015 3:58:11 PM."



ASX Code/Series,,Ex Price,Fair Value,Last Sale,Weekly Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,
PUT OPTIONS,
AGL Energy Last Sale Price $16.36,
Jan,2016,29.01,2.39,1.57,40,50,24.30,-.50,17.20,
Mar,2016,26.00,1.36,1.50,10,50,27.60,-.25,9.26,
Mar,2016,27.50,1.90,2.09,2,277,25.70,-.35,12.99,
Mar,2016,28.00,2.13,2.03,210,1038,25.20,-.39,14.60,
Mar,2016,29.50,2.96,2.15,15,17,23.80,-.52,12.68,
Mar,2016,30.00,3.28,3.78,20,2355,23.40,-.57,11.48,
Mar,2016,31.00,3.99,5.40,15,255,22.80,-.67,9.50,
Mar,2016,32.01,4.67,4.53,68,20,22.20,-.79,7.25,
Mar,2016,33.00,5.64,6.22,100,2054,21.80,-.90,7.11,
Mar,2016,34.00,6.55,3.05,100,870,21.60,-1.00,6.53,
Jun,2016,24.01,1.29,1.48,40,700,28.60,-.17,5.94,
Jun,2016,26.01,1.93,2.35,20,256,26.30,-.26,8.86,
Jun,2016,27.00,2.37,2.60,6,174,25.30,-.32,10.86,
Jun,2016,27.01,2.34,2.90,25,816,25.30,-.32,10.74,
Jun,2016,29.00,3.40,3.78,150,1337,23.50,-.45,12.88,
Jun,2016,29.01,3.38,4.58,210,840,23.50,-.46,12.69,
Jun,2016,30.50,4.38,4.85,10,10,22.40,-.58,10.49,
Jun,2016,31.01,4.70,5.61,10,25,22.10,-.63,9.59,
Sep,2016,26.00,2.21,2.15,10,145,25.60,-.25,7.51,
Sep,2016,30.00,4.30,4.26,10,200,22.60,-.50,9.18,
Dec,2016,23.00,1.53,1.72,5,5,26.40,-.14,4.26,
Dec,2017,37.00,11.87,12.00,42,748,18.40,-1.00,5.08,

ASX Last Sale Price $38.72,
Sep,2015,36.50,.03,.65,130,535,27.60,-.04,3.37,
Sep,2015,37.00,.06,.65,100,55,27.20,-.09,8.08,
Sep,2015,38.50,.41,.31,50,480,25.90,-.42,54.54,
Oct,2015,34.00,.14,.24,100,100,28.90,-.07,3.14,
Nov,2015,33.00,.19,.23,30,30,28.30,-.07,2.56,
Nov,2015,34.00,.28,.39,30,70,27.10,-.11,3.70,
Nov,2015,40.50,2.44,3.26,44,63,21.30,-.66,8.89,
Dec,2015,43.06,4.57,5.42,2,2,21.20,-.88,2.38,

Alumina Last Sale Price $1.26,
Sep,2015,1.35,.10,.09,300,1700,56.90,-.80,41.22,
Sep,2015,1.60,.34,.38,3740,8296,93.30,-.98,-,
Sep,2015,1.65,.39,.39,66,66,104.60,-.98,-,
Sep,2015,2.01,.75,.80,50,50,165.10,-1.00,-,
Oct,2015,1.30,.09,.13,1100,3474,42.70,-.53,37.78,
Nov,2015,1.15,.04,.06,100,100,45.30,-.26,18.55,
Dec,2015,1.05,.03,.03,200,-,43.00,-.15,7.93,
Feb,2016,1.45,.25,.23,100,-,39.60,-.64,10.75,
Feb,2016,1.60,.36,.40,7740,7740,40.00,-.80,5.38,
Mar,2016,1.55,.35,.40,1,287,44.10,-.69,10.74,
Mar,2016,1.65,.44,.49,1501,1501,44.40,-.77,7.67,
Mar,2016,1.70,.48,.53,10,10,44.60,-.80,6.91,

Bendigo&Adelaide Bk Last Sale Price $10.45,
Sep,2015,10.25,.07,.13,80,460,26.70,-.27,32.43,
Sep,2015,12.50,2.05,2.15,20,20,22.80,-1.00,-,
Jan,2016,10.50,.57,.54,20,-,23.10,-.45,13.66,
Feb,2016,9.25,.29,.37,42,42,25.90,-.18,6.29,
Feb,2016,9.50,.36,.39,100,50,25.30,-.22,7.81,

BHP Billiton Last Sale Price $24.46,
Sep,2015,20.11,.00,.01,425,2720,62.70,-,.85,
Sep,2015,20.57,.01,.06,100,4287,59.70,-.01,1.49,
Sep,2015,21.51,.01,.11,100,1830,52.70,-.03,3.20,
Sep,2015,21.98,.03,.02,3785,4961,49.10,-.04,5.33,
Sep,2015,22.44,.04,.25,3446,6830,45.70,-.06,8.53,
Sep,2015,22.45,.04,.27,30,725,45.60,-.07,9.59,
Sep,2015,22.91,.07,.20,420,2564,42.50,-.11,14.92,
Sep,2015,22.92,.07,.38,45,757,42.40,-.11,14.92,
Sep,2015,23.38,.13,.28,434,2470,39.70,-.18,26.65,
Sep,2015,23.39,.13,.30,15,920,39.70,-.18,26.65,
Sep,2015,23.85,.22,.19,2446,2934,37.40,-.28,46.90,
Sep,2015,24.31,.37,.32,1760,4984,35.70,-.43,78.88,
Sep,2015,24.32,.38,.34,167,900,35.70,-.43,79.94,
Sep,2015,24.78,.61,.59,255,4458,34.40,-.60,61.82,
Sep,2015,24.79,.61,.54,112,536,34.40,-.60,59.69,
Sep,2015,25.25,.93,1.55,495,4267,33.50,-.76,29.84,
Sep,2015,25.26,.94,1.07,230,2287,33.50,-.76,28.78,
Sep,2015,25.72,1.31,2.58,30,5807,33.00,-.88,11.72,
Sep,2015,25.73,1.33,1.80,150,1439,33.00,-.88,11.72,
Sep,2015,26.18,1.74,2.65,157,2623,32.80,-.95,4.26,
Sep,2015,26.19,1.75,1.71,40,940,32.80,-.96,3.20,
Sep,2015,26.65,2.19,2.67,8,385,32.70,-1.00,1.07,
Sep,2015,27.12,2.66,3.30,278,4813,32.60,-1.00,-,
Sep,2015,27.13,2.67,3.15,172,1833,32.60,-1.00,-,
Sep,2015,27.59,3.13,4.00,10,12113,32.50,-1.00,-,
Sep,2015,27.60,3.13,3.77,50,425,32.50,-1.00,-,
Sep,2015,28.06,3.59,4.32,115,1075,32.30,-1.00,-,
Sep,2015,28.53,4.06,5.00,20,685,32.00,-1.00,-,
Sep,2015,28.99,4.53,5.13,20,1432,31.50,-1.00,-,
Sep,2015,29.00,4.53,4.51,379,1696,31.50,-1.00,-,
Sep,2015,29.46,5.00,5.56,16,1776,31.00,-1.00,-,
Sep,2015,29.47,5.00,5.71,40,1222,31.00,-1.00,-,
