Warrants Market - Daily,,,,,,,,,,,,
XAO 4262.7 at 16:36 1/7/2010  Report at 19:05 Thursday 1/7/2010. Processed 19:37 Thursday 1/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $5.20,,,,,,,,,,,,
MQGWOP,42.50,23/09/10,6:1,1.155,1.16,0.65,-,-,,,,
MQGWOS,48.00,23/09/10,6:1,1.91,1.915,1.32,-,-,,,,
National Aust Bank Last Sale Price $23.03,,,,,,,,,,,,
NABVZU,24.00,28/07/10,4:1,0.37,0.40,0.39,2,300,,,,
NABWOV,24.00,23/09/10,4:1,0.47,0.475,0.49,2.5,100,,,,
NABWOW,25.50,23/09/10,4:1,0.685,0.69,0.73,5,300,,,,
NABWOX,27.50,23/09/10,4:1,1.09,1.095,1.115,-,-,,,,
Newcrest Min Last Sale Price $35.37,,,,,,,,,,,,
NCMVZS,32.00,28/07/10,4:1,0.105,0.135,-,-,-,,,,
NCMWOP,30.00,26/08/10,4:1,0.105,0.11,0.21,-,-,,,,
NCMWOQ,33.00,26/08/10,4:1,0.265,0.27,0.28,-,-,,,,
News Corp Last Sale Price $16.40,,,,,,,,,,,,
NWSUMQ,18.00,23/09/10,4:1,0.54,0.555,0.515,-,-,,,,
NWSVMP,20.00,23/09/10,4:1,0.925,0.94,-,-,-,,,,
Orica Ltd Last Sale Price $24.82,,,,,,,,,,,,
ORIUMP,26.00,23/09/10,4:1,0.465,0.60,0.445,-,-,,,,
Qantas Airways Last Sale Price $2.19,,,,,,,,,,,,
QANUMP,2.75,23/09/10,1:1,0.525,0.565,0.56,-,-,,,,
QBE Insurance Grp Last Sale Price $17.70,,,,,,,,,,,,
QBEWOP,21.00,26/08/10,4:1,0.975,0.98,-,-,-,,,,
QBEUMP,20.00,23/09/10,4:1,0.74,0.765,0.69,-,-,,,,
Rio Tinto Ltd Last Sale Price $65.10,,,,,,,,,,,,
RIOVZY,68.00,28/07/10,6:1,0.835,0.865,0.83,7.5,300,,,,
RIOWOP,60.00,26/08/10,6:1,0.355,0.39,0.315,-,-,,,,
RIOWOQ,66.00,26/08/10,6:1,0.755,0.81,0.87,-,-,,,,
RIOWOR,72.50,26/08/10,6:1,1.485,1.495,0.86,-,-,,,,
RIOUMU,60.00,23/09/10,4:1,0.79,0.845,0.455,-,-,,,,
RIOUMX,63.00,23/09/10,4:1,1.05,1.12,2.90,-,-,,,,
RIOUMV,65.00,23/09/10,4:1,1.265,1.34,-,-,-,,,,
RIOUMY,68.00,23/09/10,4:1,1.635,1.725,-,-,-,,,,
RIOUMW,70.00,23/09/10,4:1,1.915,2.02,1.455,-,-,,,,
RIOWMV,72.00,23/09/10,4:1,2.25,2.35,1.645,-,-,,,,
RIOVMP,76.00,23/09/10,4:1,2.94,3.07,-,-,-,,,,
RIOVMQ,65.00,27/01/11,4:1,1.90,1.97,-,-,-,,,,
RIOVMR,70.00,27/01/11,4:1,2.53,2.62,-,-,-,,,,
RIOVMS,75.00,27/01/11,4:1,3.28,3.38,-,-,-,,,,
RIOVMT,80.00,27/01/11,4:1,4.13,4.25,-,-,-,,,,
RIOVMV,85.00,27/01/11,4:1,5.09,5.22,-,-,-,,,,
Santos Ltd Last Sale Price $12.36,,,,,,,,,,,,
STOWOP,13.00,26/08/10,4:1,0.28,0.285,0.38,-,-,,,,
