Warrants Market,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4403.9 at 2011-10-27T16:36:25. Report at Thursday, October 27, 2011. Processed Friday at 2011-10-28T01:00:08+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Equity Call Warrants,
ANZ Banking Grp Last Sale Price $22.00,
STWSWG,25.89,30/06/16,1:1,21.06,21.09,19.63,,,,
STWSZB,28.29,30/06/16,1:1,15.53,,13.87,,,,
STWSWD,32.68,30/06/16,1:1,12.85,,11.98,,,,
STWSZC,42.05,30/06/17,1:1,8.64,,12.46,,,,
STWSZX,17.15,04/02/19,1:1,24.12,24.19,23.59,,,,
STWSZU,21.30,04/02/19,1:1,19.98,20.05,16.40,,,,
STWSZW,26.31,04/02/19,1:1,14.97,15.04,14.65,+113,30,,
STWSOX,23.20,19/11/20,1:1,18.10,,19.30,,,,
STWSRX,17.98,06/08/21,1:1,23.30,23.37,22.68,,,,
STWSRY,20.19,06/08/21,1:1,21.10,,,,,,
,
Suncorp Grp Last Sale Price $8.64,
SUNIZQ,4.60,02/12/11,1:1,4.04,4.08,3.39,,,,
SUNIOO,5.00,15/12/11,1:1,3.69,3.70,3.23,,,,
SUNIOI,8.00,15/12/11,1:1,.955,.965,.845,,,,
SUNIOM,4.50,25/05/12,1:1,4.36,4.37,3.92,,,,
SUNIRZ,6.00,28/06/12,1:1,3.15,3.18,,,,,
SUNISM,8.81,28/06/12,1:1,1.86,2.07,,,,,
SUNSOA,13.04,28/06/12,1:1,.265,.275,.365,,,,
SUNSSR,3.06,29/06/12,1:1,5.77,5.78,5.13,,,,
SUNSST,5.08,29/06/12,1:1,3.88,3.89,,,,,
SUNIOW,3.50,30/08/12,1:1,5.39,5.40,,,,,
SUNIRA,4.25,27/09/12,1:1,4.79,4.83,,,,,
SUNIZR,5.00,03/12/12,1:1,4.27,4.31,,,,,
SUNIZW,5.00,03/12/12,1:1,4.27,4.31,,,,,
SUNIZZ,5.00,03/12/12,1:1,4.27,4.31,3.55,,,,
SUNSOB,6.45,27/06/13,1:1,3.33,3.34,3.41,,,,
SUNSMA,8.89,28/06/13,1:1,1.065,,.81,,,,
SUNSOC,3.93,26/06/14,1:1,5.18,5.19,4.47,,,,
SUNSSA,12.74,30/06/14,1:1,1.075,,1.11,,,,
SUNSMC,4.64,30/06/15,1:1,4.87,,,,,,
SUNSZA,5.98,30/06/15,1:1,3.02,,3.35,,,,
SUNSSB,8.36,30/06/15,1:1,2.54,,2.34,,,,
SUNSOE,3.80,23/06/16,1:1,5.49,5.50,,,,,
SUNSWG,4.49,30/06/16,1:1,5.26,5.29,4.85,,,,
SUNSWB,8.93,30/06/16,1:1,1.60,,1.44,,,,
SUNSZB,11.01,30/06/16,1:1,1.06,,1.69,,,,
SUNSWC,12.23,30/06/16,1:1,.70,,.66,,,,
SUNSMX,15.08,30/06/16,1:1,.75,,.94,,,,
