Warrants Market - Daily,,,,,,,,,,,,
XAO 4680.0 at 16:37 23/9/2010  Report at 17:17 Thursday 23/9/2010. Processed 13:10 Friday 24/9/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
Asciano Grp Last Sale Price $1.62,,,,,,,,,,,,
NABWOL,32.00,25/11/10,4:1,0.015,0.025,-,-,-,,,,
NABWOD,24.50,28/01/11,4:1,0.59,0.595,-,-,-,,,,
NABWOE,26.50,28/01/11,4:1,0.33,0.335,-,-,-,,,,
NABWOF,28.00,28/01/11,4:1,0.195,0.20,-,-,-,,,,
NABWSA,0.00,25/03/20,1:1,26.20,-,26.20,97,1,,,,
Newcrest Min Last Sale Price $40.94,,,,,,,,,,,,
NCMVZI,36.00,23/09/10,4:1,1.20,1.25,1.135,-,-,,,,
NCMWOD,35.00,28/10/10,4:1,1.54,1.545,1.075,-,-,,,,
NCMWOC,39.00,28/10/10,4:1,0.735,0.74,0.745,9,380,,,,
NCMVZJ,41.00,28/10/10,4:1,0.315,0.36,0.23,-,-,,,,
NCMVZK,40.00,25/11/10,4:1,0.60,0.65,-,-,-,,,,
NCMWOE,38.00,23/12/10,4:1,1.22,1.225,-,-,-,,,,
NCMWOF,42.00,23/12/10,4:1,0.67,0.675,0.685,-,-,,,,
NCMWOG,44.00,23/12/10,4:1,0.465,0.47,-,-,-,,,,
NCMWMA,36.00,27/01/11,4:1,1.63,1.645,1.47,-,-,,,,
News Corp Last Sale Price $16.26,,,,,,,,,,,,
NWSUMC,18.00,23/09/10,4:1,0.001,-,0.076,-,-,,,,
NWSUMD,20.00,23/09/10,4:1,0.001,-,0.145,-,-,,,,
NWSVMF,22.00,23/09/10,4:1,0.001,-,-,-,-,,,,
NWSWMB,16.00,27/01/11,4:1,0.395,0.405,0.385,-,200,,,,
NWSWMC,18.00,27/01/11,4:1,0.175,0.185,-,-,-,,,,
Orica Ltd Last Sale Price $25.50,,,,,,,,,,,,
ORIUMB,24.37,23/09/10,4:1,0.31,-,0.59,-,-,,,,
Oil Search Ltd Last Sale Price $6.17,,,,,,,,,,,,
OSHUMB,5.75,23/09/10,1:1,0.405,-,-,-,-,,,,
OZ Minerals Last Sale Price $1.47,,,,,,,,,,,,
OZLWMB,1.25,27/01/11,1:1,0.325,0.33,0.335,-,-,,,,
OZLWMA,1.50,27/01/11,1:1,0.185,0.195,0.195,-,-,,,,
Paladin Energy Last Sale Price $3.75,,,,,,,,,,,,
PDNUMB,4.00,23/09/10,1:1,0.001,-,0.22,-,-,,,,
Qantas Airways Last Sale Price $2.66,,,,,,,,,,,,
QANUMD,2.50,23/09/10,1:1,0.165,-,0.16,-,-,,,,
QANUMC,2.75,23/09/10,1:1,0.001,-,0.029,-,-,,,,
QANWMA,2.75,27/01/11,1:1,0.235,0.24,-,-,-,,,,
QBE Insurance Grp Last Sale Price $17.41,,,,,,,,,,,,
QBEVMF,18.00,23/09/10,4:1,-,-,0.13,-,-,,,,
QBEUME,20.00,23/09/10,4:1,0.001,-,0.155,-,-,,,,
QBEUMD,21.00,23/09/10,4:1,0.001,-,0.001,-,-,,,,
