Warrants Market - Daily,,,,,,,,,,,,
XAO 4695.2 at 16:47 7/12/2009  Report at 19:05 Monday 7/12/2009. Processed 19:20 Monday 7/12/2009.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $6.16,,,,,,,,,,,,
WESVMA,30.00,25/03/10,4:1,0.40,0.405,0.38,-5,250
WorleyParsons Ltd Last Sale Price $28.01,,,,,,,,
WORVMA,30.00,25/03/10,4:1,0.63,0.635,-,-,-
Woolworths Ltd Last Sale Price $27.65,,,,,,,,
WOWVMA,28.00,25/03/10,4:1,0.365,0.37,0.37,-2,100
WOWVMB,30.00,25/03/10,4:1,0.165,0.17,0.22,-,-
Woodside Pet Last Sale Price $48.30,,,,,,,,
WPLWOA,47.50,17/12/09,5:1,0.295,0.30,0.32,-16,660
WPLWOB,50.00,17/12/09,5:1,0.075,0.08,0.088,-7.2,1145
WPLWZN,50.00,17/12/09,5:1,0.175,0.205,0.655,-,-
WPLWOC,53.00,17/12/09,5:1,0.013,0.018,0.033,-,-
WPLWZO,53.00,28/01/10,5:1,0.39,0.415,0.815,-,-
WPLVMA,50.00,25/03/10,5:1,0.695,0.70,0.715,-11,50
WPLVME,55.00,29/04/10,5:1,0.50,0.505,-,-,-
Equity Put Warrants ,,,,,,,,
AMP Ltd Last Sale Price $6.16,,,,,,,,
AMPWOT,6.00,17/12/09,3:1,0.044,0.049,0.12,-,-
AMPWOU,6.50,17/12/09,3:1,0.15,0.155,0.022,-,-
AMPWOP,5.50,25/02/10,3:1,0.095,0.10,-,-,-
AMPWOQ,6.25,25/02/10,3:1,0.205,0.21,0.185,-,-
ANZ Banking Grp Last Sale Price $21.95,,,,,,,,
ANZWOW,18.00,17/12/09,4:1,-,0.021,0.011,-,-
ANZWOX,20.00,17/12/09,4:1,0.01,0.02,0.013,-,-
ANZWZU,21.00,17/12/09,4:1,0.043,0.048,0.16,-,-
ANZWOV,22.00,17/12/09,4:1,0.13,0.185,0.165,-,-
ANZWZV,23.00,17/12/09,4:1,0.30,0.325,0.345,-,-
ANZWZW,25.00,28/01/10,4:1,0.82,0.845,-,-,-
ANZWOY,20.00,25/02/10,4:1,0.175,0.18,0.17,-,-
ANZWZX,20.00,25/02/10,4:1,0.17,0.195,0.24,-,-
ANZWOZ,22.00,25/02/10,4:1,0.35,0.355,0.335,-2,300
ANZVOP,24.00,25/02/10,4:1,0.64,0.645,0.58,-,-
ANZVMS,22.00,25/03/10,3:1,0.605,0.61,-,-,-
ANZVMT,24.00,25/03/10,3:1,0.975,0.98,-,-,-
ANZVMU,26.00,29/04/10,3:1,1.51,1.515,-,-,-
ASX Ltd Last Sale Price $33.52,,,,,,,,
ASXVMS,35.00,25/03/10,4:1,0.92,0.925,-,-,-
ASXVMU,37.00,29/04/10,4:1,1.325,1.33,-,-,-
BHP Billiton Ltd Last Sale Price $40.61,,,,,,,,
BHPVOR,27.50,17/12/09,4:1,-,0.011,0.021,-,-
BHPVOU,35.00,17/12/09,4:1,0.001,0.011,0.023,-,-
BHPVOS,37.00,17/12/09,4:1,0.027,0.032,0.067,-,-
BHPVOT,40.00,17/12/09,4:1,0.16,0.165,0.094,-,-
BHPWZR,40.00,17/12/09,4:1,0.24,0.265,0.415,-,-
BHPWZS,42.00,17/12/09,4:1,0.51,0.54,0.45,4,600
BHPWZT,38.00,28/01/10,4:1,0.36,0.385,0.57,-,-
BHPWZU,44.00,28/01/10,4:1,1.165,1.195,-,-,-
BHPWOR,30.00,25/02/10,4:1,0.053,0.058,-,-,-
BHPWOT,33.00,25/02/10,4:1,0.13,0.135,0.135,1.5,100
BHPWOU,36.00,25/02/10,4:1,0.26,0.265,0.265,3.5,500
BHPVOV,39.00,25/02/10,4:1,0.49,0.495,0.49,6,100
BHPWZV,46.00,25/02/10,4:1,1.65,1.68,-,-,-
BHPVMS,37.00,25/03/10,4:1,0.505,0.51,0.51,-,20
BHPVMT,39.00,25/03/10,4:1,0.70,0.705,0.77,-,-
