Warrants Market - Daily,,,,,,,,,,,,
XAO 4526.8 at 16:43 1/9/2010  Report at 19:06 Wednesday 1/9/2010. Processed 19:14 Wednesday 1/9/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $5.12,,,,,,,,,,,,
WOWVMF,24.00,23/09/10,4:1,1.065,-,1.075,-,-,,,,
WOWUMC,27.00,23/09/10,4:1,0.335,0.34,0.31,-,-,,,,
WOWUMD,30.00,23/09/10,4:1,0.004,-,-,-,-,,,,
WOWWOA,25.50,28/10/10,4:1,0.67,0.675,-,-,-,,,,
WOWWOC,27.00,28/10/10,4:1,0.39,0.395,0.365,-,-,,,,
Woodside Pet Last Sale Price $42.90,,,,,,,,,,,,
WPLUMC,44.00,23/09/10,4:1,0.195,0.20,0.30,-,-,,,,
WPLVZG,44.00,23/09/10,5:1,0.11,0.135,-,-,-,,,,
WPLWMH,45.00,23/09/10,4:1,0.115,0.12,0.11,-,-,,,,
WPLWOC,42.00,28/10/10,5:1,0.555,0.56,-,-,-,,,,
WPLVZH,44.00,28/10/10,5:1,0.26,0.30,-,-,-,,,,
WPLWOD,45.00,28/10/10,5:1,0.275,0.28,0.23,-,-,,,,
WPLWOE,47.00,28/10/10,5:1,0.155,0.16,-,-,-,,,,
Equity Put Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $5.12,,,,,,,,,,,,
AMPWOP,5.50,23/09/10,3:1,0.195,0.20,-,-,-,,,,
AMPWOQ,6.25,23/09/10,3:1,0.44,0.45,0.345,-,-,,,,
AMPWOS,5.00,25/11/10,3:1,0.12,0.125,-,-,-,,,,
AMPWOR,5.75,25/11/10,3:1,0.285,0.29,-,-,-,,,,
ANZ Banking Grp Last Sale Price $23.14,,,,,,,,,,,,
ANZVMP,18.00,23/09/10,4:1,0.003,-,0.045,-,-,,,,
ANZVMQ,20.00,23/09/10,4:1,0.019,0.03,-,-,-,,,,
ANZWOV,20.50,23/09/10,4:1,0.027,0.032,0.10,-,-,,,,
ANZVZU,22.00,23/09/10,4:1,0.052,0.066,0.18,-,-,,,,
ANZWMV,22.00,23/09/10,4:1,0.076,0.081,0.17,-,-,,,,
ANZWOW,22.00,23/09/10,4:1,0.081,0.086,0.155,-,-,,,,
ANZVMR,24.00,23/09/10,4:1,0.285,0.29,0.51,-,-,,,,
ANZWOX,24.00,23/09/10,4:1,0.305,0.31,0.48,-,-,,,,
ANZVMS,26.00,23/09/10,4:1,0.705,-,-,-,-,,,,
ANZVZV,21.00,28/10/10,4:1,0.06,0.079,0.094,-,-,,,,
ANZWOY,19.00,25/11/10,4:1,0.084,0.089,-,-,-,,,,
ANZWOR,21.00,25/11/10,4:1,0.185,0.19,0.20,-,-,,,,
ANZWOQ,23.00,25/11/10,4:1,0.375,0.38,0.41,-,-,,,,
ANZWOP,24.50,25/11/10,4:1,0.60,0.605,-,-,-,,,,
ANZVMX,18.00,27/01/11,4:1,-,-,-,-,-,,,,
ANZVMT,21.00,27/01/11,4:1,-,-,0.305,-,-,,,,
ANZVMV,23.00,27/01/11,4:1,-,-,-,-,-,,,,
ANZVMW,25.00,27/01/11,4:1,-,-,-,-,-,,,,
ASX Ltd Last Sale Price $29.59,,,,,,,,,,,,
ASXUMP,32.00,23/09/10,4:1,0.60,-,0.76,-,-,,,,
BHP Billiton Ltd Last Sale Price $37.91,,,,,,,,,,,,
BHPUMU,34.00,23/09/10,4:1,0.06,0.063,0.12,-,-,,,,
BHPUMW,36.00,23/09/10,4:1,0.15,0.155,0.255,-,-,,,,
BHPUMV,38.00,23/09/10,4:1,0.35,0.355,0.455,-,-,,,,
BHPVZU,38.00,23/09/10,4:1,0.27,0.315,0.40,-,-,,,,
BHPWMV,40.00,23/09/10,4:1,0.695,0.70,0.80,-,-,,,,
BHPVMP,42.00,23/09/10,4:1,1.14,1.145,0.985,-,-,,,,
BHPVOU,35.00,28/10/10,4:1,0.275,0.28,-,-,-,,,,
BHPVZV,36.00,28/10/10,4:1,0.215,0.255,0.30,-,-,,,,
BHPWOV,37.00,28/10/10,4:1,0.455,0.46,0.545,-,-,,,,
BHPWOS,39.00,28/10/10,4:1,0.69,0.695,0.48,-,-,,,,
BHPWOQ,41.00,28/10/10,4:1,1.025,1.03,1.03,-,-,,,,
BHPWOP,43.00,28/10/10,4:1,1.43,1.435,-,-,-,,,,
BHPVOX,35.50,23/12/10,4:1,0.48,0.485,-,-,-,,,,
BHPVOW,39.50,23/12/10,4:1,0.95,0.955,-,-,-,,,,
BHPVOV,41.50,23/12/10,4:1,1.255,1.26,-,-,-,,,,
BHPVMR,36.00,27/01/11,4:1,-,-,-,-,-,,,,
BHPVMS,38.00,27/01/11,4:1,-,-,-,-,-,,,,
BHPVMQ,40.00,27/01/11,4:1,1.065,1.07,1.20,-,-,,,,
BHPVMT,42.00,27/01/11,4:1,1.465,-,-,-,-,,,,
BlueScope Steel Last Sale Price $2.23,,,,,,,,,,,,
BSLUMP,2.00,28/10/10,1:1,0.092,0.097,0.10,-,-,,,,
Brambles Ltd Last Sale Price $5.92,,,,,,,,,,,,
BXBVMS,5.00,23/09/10,1:1,0.023,0.03,-,-,-,,,,
C'wlth Bank  of Aust  Last Sale Price $51.31,,,,,,,,,,,,
CBAUMU,45.00,23/09/10,4:1,0.016,-,0.10,-,-,,,,
CBAVZW,48.00,23/09/10,5:1,0.055,0.094,0.12,-,-,,,,
CBAWOV,48.00,23/09/10,5:1,0.078,0.083,0.082,-14.8,1320,,,,
CBAUMV,50.00,23/09/10,4:1,0.225,0.23,0.35,-,-,,,,
CBAWOW,51.50,23/09/10,5:1,0.295,0.305,0.285,-14,180,,,,
CBAUMW,52.00,23/09/10,4:1,0.45,0.455,0.44,-18.5,300,,,,
CBAWOX,54.00,23/09/10,5:1,0.615,0.625,1.16,-,-,,,,
CBAWMV,55.00,23/09/10,4:1,0.975,0.98,1.03,-,-,,,,
CBAVMP,57.00,23/09/10,4:1,1.415,-,-,-,-,,,,
CBAVZX,46.00,28/10/10,5:1,0.07,0.084,-,-,-,,,,
CBAWOZ,47.00,25/11/10,5:1,0.25,0.255,0.395,-,-,,,,
