Warrants Market - Daily,,,,,,,,,,,,
XAO 4483.1 at 16:36 30/8/2010  Report at 19:05 Monday 30/8/2010. Processed 19:17 Monday 30/8/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $5.09,,,,,,,,,,,,
ANZVMT,20.00,27/01/11,4:1,0.25,0.26,0.305,-,-,,,,
ANZVMV,22.00,27/01/11,4:1,0.425,0.435,-,-,-,,,,
ANZVMW,24.00,27/01/11,4:1,0.675,0.69,-,-,-,,,,
ANZVMX,26.00,27/01/11,4:1,1.01,1.025,-,-,-,,,,
ASX Ltd Last Sale Price $29.60,,,,,,,,,,,,
ASXUMP,32.00,23/09/10,4:1,0.595,0.605,0.76,-,-,,,,
BHP Billiton Ltd Last Sale Price $37.87,,,,,,,,,,,,
BHPUMU,34.00,23/09/10,4:1,0.072,0.079,0.12,-,-,,,,
BHPUMW,36.00,23/09/10,4:1,0.175,0.185,0.255,-,-,,,,
BHPUMV,38.00,23/09/10,4:1,0.385,0.395,0.455,-,-,,,,
BHPVZU,38.00,23/09/10,4:1,0.33,0.36,0.175,-,-,,,,
BHPWMV,40.00,23/09/10,4:1,0.715,0.73,0.80,-,-,,,,
BHPVMP,42.00,23/09/10,4:1,1.15,1.165,0.985,-,-,,,,
BHPVOU,35.00,28/10/10,4:1,0.285,0.29,-,-,-,,,,
BHPWOV,37.00,28/10/10,4:1,0.46,0.465,0.455,-,-,,,,
BHPWOS,39.00,28/10/10,4:1,0.695,0.70,0.48,-,-,,,,
BHPWOQ,41.00,28/10/10,4:1,1.03,1.035,1.03,-,-,,,,
BHPWOP,43.00,28/10/10,4:1,1.43,1.435,-,-,-,,,,
BHPVOX,35.50,23/12/10,4:1,0.485,0.49,-,-,-,,,,
BHPVOW,39.50,23/12/10,4:1,0.955,0.96,-,-,-,,,,
BHPVOV,41.50,23/12/10,4:1,1.26,1.265,-,-,-,,,,
BHPVMQ,40.00,27/01/11,4:1,1.105,1.115,1.20,-,-,,,,
BHPVMR,42.00,27/01/11,4:1,1.42,1.43,-,-,-,,,,
BHPVMS,44.00,27/01/11,4:1,1.775,1.79,-,-,-,,,,
BHPVMT,46.00,27/01/11,4:1,2.17,2.19,-,-,-,,,,
BlueScope Steel Last Sale Price $2.17,,,,,,,,,,,,
BSLUMP,2.00,28/10/10,1:1,0.115,0.12,0.10,-,-,,,,
Brambles Ltd Last Sale Price $5.85,,,,,,,,,,,,
BXBVMS,5.00,23/09/10,1:1,0.032,0.037,-,-,-,,,,
C'wlth Bank  of Aust  Last Sale Price $50.55,,,,,,,,,,,,
CBAUMU,45.00,23/09/10,4:1,0.031,-,0.10,-,-,,,,
CBAVZW,48.00,23/09/10,5:1,0.083,0.12,0.12,-15.5,100,,,,
CBAWOV,48.00,23/09/10,5:1,0.125,0.13,0.23,-,-,,,,
CBAUMV,50.00,23/09/10,4:1,0.335,0.35,0.35,-63,400,,,,
CBAWOW,51.50,23/09/10,5:1,0.41,0.415,0.395,-23.5,50,,,,
CBAUMW,52.00,23/09/10,4:1,0.595,0.61,0.61,-30.5,200,,,,
CBAWOX,54.00,23/09/10,5:1,0.77,0.78,1.16,-,-,,,,
CBAWMV,55.00,23/09/10,4:1,1.15,1.17,1.03,-,-,,,,
CBAVMP,57.00,23/09/10,4:1,1.595,-,-,-,-,,,,
CBAWOZ,47.00,25/11/10,5:1,0.305,0.31,0.395,-,-,,,,
CBAWOY,49.00,25/11/10,5:1,0.435,0.44,-,-,-,,,,
CBAWOR,51.00,25/11/10,5:1,0.605,0.61,-,-,-,,,,
CBAWOQ,53.00,25/11/10,5:1,0.82,0.825,-,-,-,,,,
CBAWOP,56.00,25/11/10,5:1,1.215,1.22,-,-,-,,,,
CBAVMQ,48.00,27/01/11,4:1,0.685,0.695,-,-,-,,,,
CBAVMR,52.00,27/01/11,4:1,1.13,1.145,1.32,-,-,,,,
CBAVMS,56.00,27/01/11,4:1,1.725,1.745,-,-,-,,,,
CBAVMT,60.00,27/01/11,4:1,2.45,2.47,-,-,-,,,,
Computershare Ltd Last Sale Price $9.60,,,,,,,,,,,,
CPUUMP,11.50,23/09/10,1:1,1.89,-,1.97,-,-,,,,
CSL Ltd Last Sale Price $32.53,,,,,,,,,,,,
CSLUMP,34.00,23/09/10,4:1,0.53,0.535,0.665,-,-,,,,
Fortescue Metals Grp Last Sale Price $4.71,,,,,,,,,,,,
