Industrial Market - Daily,,,,,,,,,,,,,,,,,,
XAO 4694.9 at 16:36 1/3/2010  Report at 19:06 Monday 1/3/2010. Processed 19:45 Monday 1/3/2010.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio,
1.47,1.10,-,-,BET,Belmont Hldgs,1.17,,-,1.17,-,-,,-,1.78,-,-1.38,-,
10.48,5.733,9.88,9.65,BEN,Bendigo & Adelaide,9.80,18,11872,9.79,9.85,43,f,0.83,5.16,4.39,35.53,27.6,
0.09,0.02,0.044,0.04,BLT,Benitec Ltd,0.04,,3114,0.04,0.045,-,,-,-,-,-0.8,-,
0.03,0.005,-,-,BLTO,  opt apr14,0.016,,-,0.018,0.025,-,,-,-,-,-,-,
0.012,0.002,-,-,BLTOA,  opt apr11,0.003,,-,0.003,0.01,-,,-,-,-,-,-,
0.329,0.194,0.285,0.285,BEL,Bentley Capital,0.285,,520,0.28,0.29,1,f,-,0.45,3.51,-1.46,-,
0.737,0.35,0.405,0.405,BER,Berklee Ltd,0.405,0.5,100,0.405,0.49,-,,-,0.89,-,13,3.1,
0.78,0.50,-,-,BYI,Beyond Intl,0.75,,-,0.75,0.90,6,,1.21,0.42,8.00,7.28,10.3,
0.045,0.007,-,-,BSI,Beyond Sportswear,0.018,,-,0.016,0.02,-,,-,-0.01,-,-0.23,-,
0.18,0.041,0.14,0.13,BGL,Bigair Grp Ltd,0.135,1,6635,0.13,0.135,-,,-,0.05,-,1.59,8.5,
12.19,6.158,10.35,10.05,BBG,Billabong Intl,10.25,8,14628,10.05,10.30,36,p,1.59,0.84,3.51,57.2,17.9,
0.23,0.07,-,-,BDM,Biodiem Ltd,0.22,,-,0.16,0.22,-,,-,0.05,-,-1.98,-,
0.08,0.02,0.053,0.05,BOD,bioMD Ltd,0.053,0.3,1070,0.053,0.055,-,,-,-,-,-0.95,-,
-,-,-,-,BODO,  opt aug10,-,,-,-,-,-,,-,-,-,-,-,
0.43,0.185,0.30,0.295,BNO,Bionomics Ltd,0.295,0.5,250,0.295,0.30,-,,-,0.06,-,-2.4,-,
0.06,0.011,0.028,0.027,BPO,BioProspect Ltd,0.028,-0.1,18173,0.026,0.028,-,,-,0.01,-,-0.62,-,
0.006,0.001,-,-,BPOOB,  opt mar10,0.001,,-,-,0.001,-,,-,-,-,-,-,
0.035,0.004,-,-,BOS,Biosignal Ltd,0.016,,-,0.017,0.018,-,,-,-,-,-3.3,-,
3.336,0.433,2.19,2.13,BTA,Biota Hldgs,2.18,4,6389,2.17,2.19,-,,-,0.60,-,36.6,6.0,
0.31,0.10,-,-,BTC,Biotech Capital,0.21,,-,0.21,0.23,-,,-,0.35,-,0.47,44.7,
0.175,0.075,0.091,0.091,BIT,Biotron Ltd,0.091,-0.4,72,0.091,0.096,-,,-,0.01,-,-1.67,-,
0.037,0.024,-,-,BITO,  opt dec11,0.025,,-,0.023,0.029,-,,-,-,-,-,-,
0.30,0.13,-,-,BIS,Bisalloy Steel,0.21,,-,0.205,0.21,-,,-,0.03,-,-3.44,-,
0.05,0.03,-,-,BSN,Bisan Ltd,0.04,,-,0.04,0.05,-,,-,0.06,-,-2.82,-,
1.325,0.787,1.28,1.26,BKI,BKI Invest Ltd,1.265,,967,1.265,1.28,5.5,f,1.18,1.45,4.35,6.47,19.6,
0.011,0.003,-,-,BKM,BKM Management,0.004,,-,0.004,0.009,-,,-,-,-,-0.25,-,
23.00,10.77,21.50,21.02,BKL,Blackmores Ltd,21.25,25,81,21.30,21.45,99,f,1.29,3.46,4.66,127.5,16.7,
0.031,0.013,-,-,BIV,Blue Capital Ltd,0.028,,-,0.023,0.027,-,,-,0.02,-,-1.23,-,
3.48,1.691,2.48,2.43,BSL,BlueScope Steel,2.47,5,110673,2.47,2.48,5,,-,2.47,2.02,-61.37,-,
0.385,0.15,0.175,0.165,BLG,Bluglass Ltd,0.165,-1,954,0.165,0.17,-,,-,0.04,-,-5.06,-,
0.41,0.054,0.32,0.305,BLY,Boart Longyear,0.31,-0.5,429155,0.305,0.31,-,,-,0.14,-,-0.67,-,
0.25,0.10,-,-,BNE,Bone Medical Ltd,0.15,,-,0.135,0.20,-,,-,-0.01,-,-3.55,-,
0.70,0.27,0.325,0.32,BOL,Boom Logistics,0.325,0.5,8054,0.32,0.325,1,,-,0.55,3.08,-24,-,
6.40,2.29,5.42,5.34,BLD,Boral Ltd,5.38,1,24394,5.36,5.41,12.5,f,1.82,4.23,2.32,22.7,23.7,
0.391,0.016,0.069,0.069,BPH,BPH Corp Ltd,0.069,,1200,0.067,0.07,-,,-,0.07,-,-2.68,-,
0.018,0.003,-,-,BPHO,  opt may10,0.003,,-,0.002,0.003,-,,-,-,-,-,-,
7.55,0.945,6.71,6.40,BKN,Bradken Ltd,6.60,12,6220,6.50,6.65,26,f,1.67,1.58,3.94,43.3,15.2,
