Industrial Market - Daily,,,,,,,,,,,,,,,,,,
XAO 4846.2 at 16:47 21/10/2009  Report at 19:05 Wednesday 21/10/2009. Processed 19:28 Wednesday 21/10/2009.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio,
1.05,0.77,1.00,1.00,AUF,Asian Masters Fund,1.00,,50,1.00,1.015,-,,-,0.95,-,0.76,131.6
0.325,0.125,-,-,AKF,ASK Funding Ltd,0.31,,-,0.32,0.37,1.3,f,4.15,0.35,4.19,5.4,5.7
0.82,0.218,0.515,0.50,APZ,Aspen Grp stpld,0.51,,13376,0.505,0.52,6.17,,-,0.68,12.10,-22.53,-
0.345,0.148,-,-,ASP,Aspermont Ltd,0.17,,-,0.17,0.20,0.13,,-,-0.06,0.76,-0.22,-
1.40,0.008,0.65,0.65,AKR,Astra Capital Ltd,0.65,,1,0.655,0.70,-,,-,1.60,-,-0.03,-
0.55,0.16,0.485,0.47,AJA,Astro Jap Prop Tr unt,0.48,-0.5,18262,0.475,0.48,9,,-,0.93,18.75,-71.94,-
2.70,1.41,2.18,2.10,ATR,Astron Ltd,2.10,-13,227,2.02,2.10,10,,-,0.03,4.76,-3.9,-
37.90,23.52,35.71,34.82,ASX,ASX Ltd,35.49,49,9252,35.44,35.70,164.9,f,1.11,2.66,4.65,183.2,19.4
0.24,0.105,0.18,0.175,ACG,Atcor Medical,0.175,-0.5,1500,0.175,0.18,-,,-,0.05,-,-1.7,-
0.044,0.005,0.04,0.037,ATI,Atlantic Ltd,0.039,,82221,0.038,0.04,-,,-,0.01,-,-0.11,-
0.032,0.003,0.028,0.027,ATIO,  opt dec11,0.028,-0.1,28100,0.027,0.028,-,,-,-,-,-,-
0.34,0.075,0.135,0.135,ATP,Atlas Southsea Pearl,0.135,,100,0.13,0.135,2,,-,0.20,14.81,-4.39,-
0.04,0.01,0.01,0.01,ATW,Atos Wellness,0.01,-0.3,5600,0.01,0.02,-,,-,0.01,-,-0.12,-
1.66,1.175,1.66,1.66,AIA,Auckland Airport fpo nz,1.66,3,1404,1.61,1.66,6.7,,0.41,1.21,4.04,2.74,60.6
7.20,4.50,7.20,7.10,ABW,Aurora Buy-Write ord ,7.10,-10,20,7.18,7.29,43,,-,7.05,6.06,-57.97,-
