Industrial Market - Daily,,,,,,,,,,,,,,,,,
XAO 4721.2 at 16:47 4/12/2009  Report at 19:05 Friday 4/12/2009. Processed 19:29 Friday 4/12/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
5.37,4.35,-,-,AUP,Aurora Prop unt,5.32,,-,4.95,5.08,-,,-,5.43,-,-,-
1.23,1.055,1.11,1.10,AOD,Aurora Sandringham ,1.11,,1242,1.10,1.11,5,f,-,1.08,4.50,-6.57,-
2.02,0.675,2.02,1.92,ASL,Ausdrill Ltd,2.00,8,11717,1.955,2.00,11,f,2.11,1.73,5.50,23.23,8.6
5.95,1.855,4.30,4.21,AAX,Ausenco Ltd,4.26,2,3618,4.22,4.30,18.5,f,2.38,0.76,4.34,43.94,9.7
0.78,0.10,0.78,0.775,AET,Ausmelt Ltd,0.78,,170,0.775,0.78,2,,-,-,2.56,-32.9,-
2.07,1.16,1.355,1.32,AAC,Aust Agriculture,1.32,-3,6073,1.32,1.35,-,,-,2.55,-,-25.7,-
0.016,0.002,0.016,0.015,AAK,Aust China Hldgs,0.016,,20000,0.014,0.016,-,,-,0.02,-,0.32,5.0
0.005,0.001,0.002,0.002,AAKO,  opt dec13,0.002,,18000,0.001,0.002,-,,-,-,-,-,-
0.54,0.145,0.42,0.395,AEU,Aust Education unt,0.42,,207,0.395,0.42,6.7,,-,1.33,15.95,-21.5,-
6.45,5.00,6.30,6.22,AYF,Aust Enhanced unt,6.22,-8,190,6.23,6.34,65,p,-,6.59,10.45,-157,-
37.00,17.00,-,-,AEF,Aust Ethical,33.47,,-,31.00,33.00,147,f,0.83,8.53,4.39,121.6,27.5
5.35,3.45,5.21,5.13,AFI,Aust Foundation,5.14,-5,2244,5.12,5.14,21,f,0.51,4.77,4.09,10.61,48.4
1.93,0.991,1.775,1.71,AIX,Aust Infra unt,1.725,-5,17525,1.71,1.73,13,p,2.03,3.14,7.54,26.33,6.6
1.265,0.55,1.19,1.19,ALF,Aust Leaders,1.19,-0.5,100,1.18,1.195,5,f,2.37,1.55,4.20,11.85,10.0
