Industrial Market - Daily,,,,,,,,,,,,,,,,,
XAO 4665.9 at 16:35 24/2/2010  Report at 19:05 Wednesday 24/2/2010. Processed 19:37 Wednesday 24/2/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
1.25,0.75,-,-,AYX,Austofix Grp Ltd,1.05,,-,1.05,1.25,-,,-,0.26,-,-6.3,-
0.585,0.174,0.495,0.485,ALZ,Australand Prop stpld,0.49,,29479,0.485,0.495,8,,-,0.68,16.33,-13.4,-
0.034,0.016,-,-,AIY,Authorised Invest,0.03,,-,0.023,0.03,-,,-,0.03,-,-0.23,-
-,-,-,-,AIYO,  opt feb13,-,,-,-,0.005,-,,-,-,-,-,-
0.01,0.01,-,-,AIYOA,  opt mar10,0.01,,-,-,-,-,,-,-,-,-,-
0.151,0.028,-,-,ATJ,Auto Tech Ltd,0.06,,-,0.049,0.055,-,,-,0.01,-,-5.55,-
-,-,-,-,ATJO,  opt jun11,-,,-,0.002,-,-,,-,-,-,-,-
0.11,0.02,-,-,AIE,Autodom Ltd,0.083,,-,0.081,0.083,-,,-,0.12,-,2.32,3.6
2.60,0.56,2.42,2.31,AHE,Automotive Hldgs,2.42,9,218,2.31,2.43,17,f,1.66,0.75,7.02,28.14,8.6
0.025,0.01,-,-,AAT,Autron Corp,0.013,,-,0.011,0.015,-,,-,-,-,-1.63,-
0.235,0.054,0.135,0.13,AVX,Avexa Ltd,0.135,,9203,0.135,0.14,-,,-,0.04,-,-4.17,-
0.275,0.068,0.145,0.145,AVH,Avita Medical Ltd,0.145,,158,0.14,0.15,-,,-,0.05,-,-5.49,-
0.63,0.16,0.49,0.49,AVJ,AVJennings,0.49,-1,15,0.47,0.50,-,,-,1.06,-,0.09,544.4
1.337,0.592,1.055,1.025,AWB,AWB Ltd,1.04,0.5,22960,1.03,1.045,5,,3.70,1.81,4.81,18.5,5.6
0.009,0.002,0.009,0.008,AWL,AWH Corp Ltd,0.009,0.1,13583,0.008,0.009,-,,-,-,-,-0.31,-
6.72,2.52,6.46,6.35,AXA,AXA Asia Pacific,6.40,4,102112,6.40,6.44,18.5,p,1.89,1.12,2.89,34.89,18.3
0.08,0.021,0.032,0.032,AXI,Axiom Prop,0.032,,705,0.032,0.042,-,,-,0.06,-,-2.76,-
13.49,6.228,10.94,10.78,BOQ,Bank of Qld,10.90,-6,6768,10.86,10.95,52,f,1.46,6.62,4.77,75.9,14.4
0.02,0.01,-,-,BBX,BBX Hldgs,0.01,,-,0.01,0.04,-,,-,0.01,-,-12.17,-
0.23,0.065,0.09,0.09,BEC,Becton Prop Grp stpld,0.09,,86,0.09,0.093,-,,-,0.23,-,-167.28,-
1.40,0.375,1.195,1.11,BFG,Bell Financial Grp,1.175,-2,10760,1.175,1.20,8,f,1.41,0.25,6.81,11.3,10.4
1.50,1.10,-,-,BET,Belmont Hldgs,1.20,,-,1.15,-,-,,-,1.78,-,-1.38,-
10.48,5.733,10.16,10.03,BEN,Bendigo & Adelaide,10.03,-17,19614,10.03,10.14,43,f,0.83,5.16,4.29,35.53,28.2
0.09,0.02,0.043,0.042,BLT,Benitec Ltd,0.042,-0.1,1000,0.042,0.044,-,,-,-,-,-0.8,-
0.03,0.005,-,-,BLTO,  opt apr14,0.016,,-,0.018,0.025,-,,-,-,-,-,-
0.012,0.002,-,-,BLTOA,  opt apr11,0.003,,-,0.003,0.01,-,,-,-,-,-,-
0.329,0.194,-,-,BEL,Bentley Capital,0.27,,-,0.275,0.285,-,f,-,0.45,-,-1.46,-
0.737,0.35,-,-,BER,Berklee Ltd,0.35,,-,0.355,0.40,-,f,-,0.89,-,13,2.7
0.78,0.50,-,-,BYI,Beyond Intl,0.78,,-,0.78,0.90,5,,1.46,0.42,6.41,7.28,10.7
0.045,0.007,-,-,BSI,Beyond Sportswear,0.018,,-,0.017,0.02,-,,-,-0.01,-,-0.23,-
0.18,0.041,0.125,0.12,BGL,Bigair Grp Ltd,0.12,-0.5,3030,0.12,0.13,-,,-,0.05,-,1.59,7.5
12.19,6.158,10.73,10.34,BBG,Billabong Intl,10.50,-27,11169,10.48,10.60,36,p,1.59,0.84,3.43,57.2,18.4
0.23,0.07,-,-,BDM,Biodiem Ltd,0.17,,-,0.17,0.22,-,,-,0.05,-,-1.98,-
0.08,0.02,-,-,BOD,bioMD Ltd,0.041,,-,0.041,0.05,-,,-,-,-,-0.95,-
