Industrial Market - Daily,,,,,,,,,,,,,,,,,,
XAO 4574.1 at 16:41 18/6/2010  Report at 19:05 Friday 18/6/2010. Processed 19:10 Friday 18/6/2010.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio,
24.00,15.40,23.60,23.50,BKL,Blackmores Ltd,23.50,25,38,23.30,23.50,99,f,1.33,3.76,4.21,132,17.8,
0.031,0.013,0.021,0.021,BIV,Blue Capital Ltd,0.021,,136,0.021,0.027,-,,-,0.02,-,-1.23,-,
3.48,2.06,2.33,2.28,BSL,BlueScope Steel,2.30,,109836,2.29,2.30,5,,-,2.47,2.17,-61.37,-,
0.28,0.082,0.135,0.125,BLG,Bluglass Ltd,0.125,,4500,0.12,0.13,-,,-,0.04,-,-5.12,-,
4.10,1.533,3.06,2.99,BLY,Boart Longyear,3.01,,53416,2.99,3.02,-,,-,0.14,-,-0.67,-,
0.24,0.10,-,-,BNE,Bone Medical Ltd,0.115,,-,0.12,0.135,-,,-,-0.01,-,-2.96,-,
0.70,0.21,0.45,0.435,BOL,Boom Logistics,0.45,1.5,53919,0.445,0.45,1,,-,0.55,2.22,-24,-,
6.40,3.77,5.30,5.19,BLD,Boral Ltd,5.23,-6,25903,5.23,5.26,12.5,f,1.82,4.23,2.39,22.7,23.0,
0.391,0.02,0.07,0.066,BPH,BPH Corp Ltd,0.066,-0.5,2050,0.067,0.074,-,,-,0.07,-,-2.68,-,
8.14,3.60,7.38,7.22,BKN,Bradken Ltd,7.23,-6,4073,7.22,7.29,26,f,1.67,1.58,3.60,43.3,16.7,
0.35,0.20,-,-,BRC,Brain Resource,0.23,,-,0.225,0.25,-,,-,-0.01,-,1.6,14.4,
8.37,5.54,6.17,5.84,BXB,Brambles Ltd,5.89,-32,136420,5.89,5.90,25,p,1.38,0.66,4.24,34.45,17.1,
0.035,0.013,-,-,BNV,Brand New Vintage,0.021,,-,0.021,0.022,-,,-,0.02,-,-0.19,-,
