Industrial Market - Daily,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"XAO 4734.1 at 2011-03-21T16:38:31. Report at Monday, March 21, 2011. Processed Friday at 2011-03-25.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio
0.16,0.04,-,-,AJJ,Asia Liver Trans,0.155,-,-,0.13,0.15,0.7,,1.46,0.01,4.52,1.02,15.2
1.1,1,1.03,1.03,AUF,Asian Masters Fund,1.03,-1,265,1.03,1.05,2.5,f,-,1.02,2.43,-0.32,-
0.255,0.125,0.13,0.13,AKF,ASK Funding,0.13,-,500,0.125,0.135,0.36,,2.67,0.34,2.77,0.96,13.5
0.56,0.42,0.46,0.44,APZ,Aspen Grp stp,0.46,2,8430,0.45,0.46,4.2,,0.31,0.68,9.13,1.3,35.4
0.15,0.08,-,-,ASP,Aspermont,0.09,-,-,0.09,0.11,-,,-,-0.04,-,-0.06,-
1.42,0.77,1.09,1.09,AIR,Astivita Renewables,1.09,3,50,1.04,1.09,4,f,7.17,0.56,3.67,28.68,3.8
3.49,0.28,2.92,2.86,AJA,Astro Japan Prop Tr stp,2.9,-2,1356,2.9,2.92,5.75,,-,0.56,1.98,-15.56,-
2.61,1.68,2.5,2.5,ATR,Astron,2.5,-,1889,2.41,2.5,-,,-,2.85,-,2.53,98.8
43.89,28.02,34.64,33.91,ASX,ASX,34.18,-64,13939,34.16,34.18,174.2,f,1.1,3.85,5.1,191.2,17.9
0.153,0.078,0.105,0.105,ACG,Atcor Medical,0.105,0.5,95,0.092,0.1,-,,-,0.04,-,-1.31,-
0.125,0.08,-,-,ATP,Atlas Southsea Pearl,0.12,-,-,0.11,0.12,-,,-,0.14,-,1.82,6.6
0.02,0.012,-,-,ATW,Atos Wellness,0.012,-,-,-,-,-,,-,0.01,-,-1.04,-
1.75,1.45,-,-,AIA,Auckland Airport,1.57,-,-,1.55,1.58,5.89,,0.37,1.12,3.75,2.18,72
4.66,0.18,4.25,4.2,AKP,Audio Pixels Ltd,4.25,25,89,4.2,4.25,-,,-,0.22,-,1.23,345.5
2,1,-,-,AFV,Aurora Funds,0.9,-,-,-,-,-,,-,-,-,-,-
1.25,1.05,-,-,AIB,Aurora Global Inc Tr unt,1.205,-,-,-,-,10.5,,1.09,1.21,8.71,11.42,10.6
5.4,4.8,5.27,5.26,AUP,Aurora Prop unt,5.26,-1,50,5.26,5.35,44,,-,5.33,8.37,-,-
1.24,1.035,-,-,ABW,Aurora SAE ord unt,1.155,-,-,1.15,1.16,9.8,,-,1.13,8.48,-0.88,-
1.055,0.965,1.005,0.995,AOD,Aurora Sandringham unt,1.005,1,957,1,1.005,6.2,,-,1,6.17,-0.72,-
1.75,1.55,1.67,1.67,AQF,Aust Gov Index Fund,1.67,3,213,1.67,1.65,2.5,f,1.67,1.63,1.5,4.18,40
1.5,1.3,1.4,1.4,AZF,AUS Social Infr Fund unt,1.4,-,100,1.4,1.495,-,,-,-,-,-,-
3.74,1.455,3.5,3.36,ASL,Ausdrill,3.42,-3,7331,3.4,3.45,11.5,f,2.23,1.79,3.36,25.67,13.3
