Industrial Market - Daily,,,,,,,,,,,,,,,,,,
XAO 4526.8 at 16:43 1/9/2010  Report at 19:06 Wednesday 1/9/2010. Processed 19:11 Wednesday 1/9/2010.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio,
7.35,1.00,-,-,ABW,Aurora SAE ord unt,1.065,,-,1.095,1.105,9.5,,-,1.05,8.92,-30.42,-,
1.12,0.965,0.995,0.985,AOD,Aurora Sandringham ,0.985,-0.5,1299,0.985,0.99,6.2,p,-,1.00,6.29,-4.69,-,
1.72,1.55,-,-,AQF,AUS Gov Index Fund,1.60,5,-,-,-,-,,-,-,-,-,-,
2.34,1.441,1.90,1.80,ASL,Ausdrill Ltd,1.90,10,8144,1.89,1.90,11,f,2.16,1.78,5.79,23.71,8.0,
5.95,1.71,2.34,2.28,AAX,Ausenco Ltd,2.34,8,10532,2.32,2.34,4.5,,-,0.50,1.92,-10.35,-,
1.69,1.22,1.625,1.565,AAC,Aust Agriculture,1.57,-6,2295,1.555,1.57,-,,-,-,-,-13.4,-,
0.016,0.003,-,-,AAK,Aust China Hldgs,0.004,,-,-,-,-,,-,0.02,-,0.03,13.3,
0.005,0.001,-,-,AAKO,  opt dec13,0.001,,-,-,-,-,,-,-,-,-,-,
0.69,0.31,0.675,0.655,AEU,Aust Education unt,0.66,1,437,0.66,0.675,0.67,,14.03,1.29,1.02,9.4,7.0,
6.55,5.90,6.29,6.29,AYF,Aust Enhanced unt,6.29,5,18,6.25,6.40,50,p,0.02,6.44,7.95,1,629.0,
37.00,19.00,-,-,AEF,Aust Ethical,19.00,,-,-,-,200,f,0.69,8.11,10.53,139,13.7,
5.41,4.52,4.71,4.65,AFI,Aust Foundation,4.68,6,3417,4.68,4.70,21,f,0.89,4.70,4.49,18.6,25.2,
2.09,1.47,1.89,1.83,AIX,Aust Infra unt,1.875,5.5,20031,1.845,1.89,10,p,3.32,2.61,5.33,33.22,5.6,
1.222,1.015,1.085,1.075,ALF,Aust Leaders,1.085,3,450,1.085,1.09,8,f,2.42,1.33,7.37,19.35,5.6,
0.10,0.001,-,-,ALFO,  opt nov10,0.01,,-,-,-,-,,-,-,-,-,-,
0.939,0.365,0.435,0.425,API,Aust Pharmaceutical,0.425,,509,0.425,0.435,3,f,2.03,0.79,7.06,6.1,7.0,
0.50,0.265,0.48,0.48,APK,Aust Power,0.48,0.5,308,0.48,0.495,-,,-,-0.15,-,-3.1,-,
7.90,6.37,6.42,6.39,AUI,Aust United Invest,6.40,,85,6.30,6.56,25.5,f,1.09,6.68,3.98,27.7,23.1,
0.395,0.195,0.395,0.355,AVG,Aust Vintage Ltd,0.375,2,2614,0.38,0.39,-,,-,0.96,-,7.1,5.3,
3.07,1.935,2.26,2.24,ASB,Austal Ltd,2.26,1,2123,2.24,2.26,6,f,3.38,1.41,2.65,20.3,11.1,
1.465,0.84,0.945,0.915,AUN,Austar United,0.93,1,50604,0.91,0.93,-,,-,-0.28,-,3.5,26.6,
5.65,4.54,5.01,4.85,AUB,Austbrokers Hldgs,5.00,,438,4.95,5.09,22.5,f,1.57,1.23,4.50,35.3,14.2,
