Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4363.7 at 2012-02-08T16:38:36. Report at Wednesday, February 8, 2012. Processed Thursday at 2012-02-09T12:20:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
10.63,6.46,7.34,7.24,BOQ,Bank of Qld,,2642,7.33,+1,9750,7.26,7.35,54.00,f,1.24,7.95,7.37,67.10,10.9,,
10.40,.006,.84,.695,BEC,Becton Property stp,,,.84,+18,343,.79,.84,,,,.80,,-3540.00,,,
1.91,1.60,1.745,1.745,BGA,Bega Cheese,,,1.745,,100,1.72,1.745,,,,,,,,,
1.13,.52,,,BFG,Bell Financial Grp,,,.625,,,.61,.62,6.00,f,1.28,.20,9.60,7.70,8.1,,
10.27,7.55,8.22,8.13,BEN,Bendigo & Adelaide Bk,$1,2132,8.15,+3,13920,8.15,8.17,60.00,f,1.53,5.75,7.36,91.50,8.9,,
.045,.013,.021,.019,BLT,Benitec,20c,4088,.019,-.1,142800,.019,.02,,,,.01,,-.68,,,
.025,.002,,,BLTO,  opt apr14,,,.005,,,.004,.006,,,,,,,,,
.019,.005,,,BLTOB,  opt dec13,,,.007,,,.007,.008,,,,,,,,,
.191,.124,,,BEL,Bentley Capital,50c,2353,.15,,,,,2.00,f,.40,.27,13.33,.79,19.0,,
.60,.40,,,BER,Berklee,20c,2134,.48,,,.38,.46,2.00,f,,1.19,4.17,-22.30,,,
12.08,11.16,11.95,11.95,QAG,BetaShares Agriculture etf unt,,,11.95,+15,1,10.81,13.22,,,,,,,,,
17.38,16.08,,,QCB,BetaShares Commods etf unt,,,17.36,,,15.82,19.00,,,,,,,,,
8.51,6.40,7.18,7.18,QFN,BetaShares ASX Fin etf unt,,,7.18,+1,10,7.00,7.53,,p,,,,,,,
8.74,6.08,,,QRE,BetaShares ASX Res etf unt,,,6.65,,,6.69,6.72,,p,,,,,,,
14.25,12.35,,,EEU,BetaShares Euro etf unt,,,12.35,,,12.23,12.37,,,,,,,,,
19.25,14.581,17.54,17.49,QAU,BetaShares Gold etf unt,,,17.52,+27,983,16.00,17.58,,,,,,,,,
16.33,14.75,14.77,14.77,POU,BetaShares GBP etf unt,,,14.77,+2,1,14.65,15.50,,,,,,,,,
10.53,9.02,9.25,9.21,USD,BetaShares US Dollar etf unt,,,9.22,-3,938,9.22,9.97,,,,,,,,,
57.14,51.58,54.77,54.77,OOO,BetaShares Crude Oil etf unt,,,54.77,+101,,49.64,59.60,,,,,,,,,
.80,.60,,,BYI,Beyond Int'l,,2188,.60,,,,,6.00,,1.45,.45,10.00,8.67,6.9,,
.002,.001,,,BSI,Beyond Sportswear,,,.001,,,,,,,,,,.02,5.0,,
.345,.16,.32,.315,BGL,BigAir Grp,,,.315,+.5,1700,.31,.315,,,,.04,,1.20,26.3,,
9.07,1.70,1.86,1.83,BBG,Billabong Int'l,20c,2121,1.845,+.5,10301,1.83,1.845,29.00,p,1.63,-.29,15.72,47.40,3.9,,
.20,.07,,,BDM,BioDiem,,,.075,,,,,,,,.02,,-2.57,,,
.012,.006,,,BDMO,  opt may12,,,.012,,,,,,,,,,,,,
1.54,.60,.72,.70,BNC,Bioniche cdi,,,.72,+6,870,.45,.72,,,,,,,,,
.77,.355,.475,.45,BNO,Bionomics,20c,7085,.45,-1,1936,.43,.46,,,,.06,,-2.90,,,
.023,.003,.005,.005,BPO,BioProspect,,3545,.005,,10000,.005,.006,,,,,,-.37,,,
.007,.001,,,BPOO,  opt dec13,,6053,.001,,,,,,,,,,,,,
1.66,.69,.825,.805,BTA,Biota Hldgs,25c,2175,.815,,843,.80,.825,,,,.41,,-15.50,,,
.16,.066,,,BTC,Biotech Capital,20c,2227,.066,,,,,6.00,,,.09,90.91,-4.69,,,
.19,.089,.145,.13,BIT,Biotron,20c,3856,.135,,2777,.135,.14,,,,.01,,-1.49,,,
1.475,.50,,,BIS,Bisalloy Steel,,,1.315,,,1.36,1.495,,,,.28,,5.50,23.9,,
.053,.02,,,BSN,Bisan,50c,2174,.049,,,,,,,,.01,,.13,37.7,,
1.284,1.041,1.245,1.215,BKI,BKI Invest,,,1.22,,1258,1.22,1.24,6.20,f,1.17,1.32,5.08,7.25,16.8,,
.011,.002,,,BKM,BKM Management,,2235,.004,,,,,,,,,,-.21,,,
32.10,24.05,29.29,29.00,BKL,Blackmores,50c,2144,29.00,-29,28,29.00,29.29,124.00,f,1.32,4.43,4.28,163.20,17.8,,
.27,.10,,,BWF,Blackwall Property,,,.10,,,.10,.12,,,,,,,,,
1.05,1.00,,,BLA,Blue Sky Alt Invest,,,1.00,,,,,,,,,,,,,
.30,.10,,,BCT,Bluechiip,,,.245,,,,,,,,,,,,,
2.007,.375,.41,.395,BSL,BlueScope Steel,20c,3099,.405,+1,268512,.40,.405,2.00,,,1.97,4.94,-57.40,,,
.19,.07,.077,.07,BLG,BluGlass,,,.071,-.8,5840,.071,.079,,,,.03,,-1.84,,,
5.01,2.34,3.78,3.68,BLY,Boart Longyear,,,3.70,-6,42395,3.67,3.72,8.00,p,3.11,1.46,2.16,24.91,14.9,,
.047,.004,.021,.016,BNE,Bone Medical,50c,,.017,-.3,127278,.017,.018,,,,,,-1.51,,,
.405,.19,.27,.265,BOL,Boom Logistics,,,.265,-.5,1116,.265,.27,,,,.49,,-8.18,,,
5.73,3.13,4.33,4.19,BLD,Boral,20c,7240,4.29,+4,68770,4.24,4.30,14.50,f,1.61,3.91,3.38,23.30,18.4,,
.072,.022,.027,.026,BPH,BPH Energy,,,.027,+.2,523,.025,.029,,,,.26,,-.13,,,
8.79,6.09,8.21,7.87,BKN,Bradken,,,8.20,+37,16005,8.15,8.22,40.50,f,1.36,2.03,4.94,55.10,14.9,,
.38,.19,.205,.205,BRC,Brain Resource,20c,7611,.205,,100,.205,.25,,,,-.04,,.30,68.3,,
7.47,5.79,7.38,7.16,BXB,Brambles,,,7.38,+17,53350,7.30,7.39,26.00,p,1.18,.22,3.52,30.63,24.1,,
.02,.007,,,BNV,Brand New Vintage,,,.007,,,,,,,,,,-2.24,,,
.26,.12,,,BVA,Bravura Solutions,,,.145,,,,,,,,-.02,,-3.25,,,
.012,.003,,,BPK,Bremer Park,20c,,.003,,,.007,.031,,,,-.04,,-4.03,,,
3.67,2.51,3.05,2.98,BRG,Breville Grp,20c,,3.05,+2,3113,3.02,3.05,16.50,f,1.48,.64,5.41,24.47,12.5,,
11.53,8.86,10.70,10.45,BKW,Brickworks,20c,2145,10.52,+7,179,10.50,10.64,40.50,f,2.39,9.42,3.85,96.70,10.9,,
.42,.195,.29,.285,BYL,Brierty,,,.285,-2,735,.275,.295,.50,,.18,.34,1.75,.09,316.7,,
.39,.225,.26,.26,BBL,Brisbane Broncos,20c,3451,.26,+1,81,.26,.27,.50,,2.64,.13,1.92,1.32,19.7,,
.91,.69,,,BCS,BrisConnection Tr stp,,,.85,,,,,,,,-4.98,,25.12,3.4,,
.007,.001,.005,.005,BRO,Broad Invest,20c,3253,.005,,8798,.005,.006,,,,,,-.09,,,
.063,.033,.043,.042,BAO,Brookfield Aust Opp unt,,,.042,+.1,2189,.042,.046,,,,.14,,-.12,,,
3.87,2.681,3.85,3.85,BPA,Brookfield unt,,,3.85,,141,3.85,3.95,,,,,,74.43,5.2,,
.311,.177,.24,.235,BSA,BSA,20c,7328,.235,,5650,.235,.245,2.00,f,2.01,.07,8.51,4.02,5.8,,
2.97,1.755,1.94,1.87,BTT,BT Invest Mgt,,,1.93,+8,886,1.89,1.93,16.00,f,.73,1.10,8.29,11.70,16.5,,
.170,.095,,,BUG,Buderim Ginger,50c,2185,.125,,,,,,,,.36,,-3.29,,,
1.89,1.555,1.775,1.73,BWP,BWP Trust unt,20c,6781,1.775,+3,6258,1.77,1.775,11.98,,1.50,1.90,6.75,17.97,9.9,,
.004,.001,,,BPG,Byte Power Grp,50c,8945,.003,,,,,,,,,,-.13,,,
5.89,3.95,4.83,4.78,CAB,Cabcharge Aust,,2404,4.79,+1,3355,4.75,4.84,30.00,f,1.28,2.44,6.26,38.30,12.5,,
1.299,.94,1.26,1.26,CDM,Cadence Capital,,,1.26,,57,1.25,1.28,6.00,f,7.97,1.35,4.76,47.80,2.6,,
.06,.032,,,CDMO,  opt sep12,,,.059,,,,,,,,,,,,,
.28,.12,.125,.125,CIX,Calliden Grp,50c,,.125,-.5,2,.125,.14,1.00,,,.20,8.00,-.24,,,
16.44,8.76,12.47,12.27,CTX,Caltex Aust,$1,2295,12.42,+3,3795,12.27,12.50,47.00,f,3.51,11.73,3.78,165.00,7.5,,
.13,.032,.05,.05,CZD,Calzada,20c,,.05,,1200,.05,.054,,,,.03,,-.84,,,
57.00,38.24,56.80,54.93,CPB,Campbell Brothers,,2265,54.97,-15,2959,54.12,56.00,170.00,p,1.47,2.51,3.09,250.26,22.0,,
.075,.03,,,CDL,Canada Land cdi,13c,2209,.03,,,,,,,,.23,,-.71,,,
