ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Thursday, April 5, 2012,,,,,,,,,,,,,,,,,,,,
"XAO 4402.3 at 2012-04-05T16:35:50. Report at Thursday, April 5, 2012. Processed Saturday at 2012-04-07T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
AMP,37804.8,639.516,966.156,12.446,.89,4.9,26.30,16.6,29.00,.91,6.65,p,AMP,,4.36,+4,4.34,4.37,4.38,4.24,+1.33,5.82,3.61,,
AGF,435.978,13.757,16.140,.245,.88,.8,-14.40,-,2.05,-,2.97,,AMP Capital China,,.69,+4,.66,.69,.69,.655,+6.55,.82,.60,,
ANQ,218.405,4.253,3.021,.019,-.03,-,-5.30,-,-,-,-,,AnaeCo,,.049,+.4,.048,.049,.049,.045,+9.29,.115,.04,,
ANQOA,-,-,-,-,-,-,-,-,-,-,-,,  opt may12,,.001,-,-,-,.001,.001,+.40,.001,.001,,
ALT,1392.16,182.643,34.406,.014,-,-,-.23,-,-,-,-,,Analytica,,.025,+.1,.024,.025,.025,.024,+4.57,.040,.016,,
ALTO,-,30.703,-,-,-,-,-,-,-,-,-,,  opt sep12,,.003,-,-,-,.003,.003,+.40,.009,.001,,
ALTOA,-,21.725,-,-,-,-,-,-,-,-,-,,  opt jun13,,.003,-,-,-,.003,.003,+.40,.005,.001,,
AYG,2055.00,65.440,108.572,.010,-.01,-,-.47,-,-,-,-,,Anittel Grp,,.005,-,.005,.006,.006,.005,+.40,.009,.004,,
ANN,3551.45,35.369,44.508,1.968,2.31,6.5,93.30,16.1,34.00,2.74,2.26,,Ansell,,15.06,+19,14.85,15.15,15.17,14.75,+1.68,15.36,11.82,,
ANO,268.000,4.583,12.723,.007,.01,1.2,-.88,-,-,-,-,,Antaria,,.012,-,.012,.013,.013,.012,+.40,.038,.012,,
ADO,8476.93,187.755,511.554,.061,-,-,-.35,-,-,-,-,,Anteo Diagnostics,,.08,-.1,.081,.082,.087,.08,-.83,.105,.054,,
ANP,15452.8,746.649,1471.06,.020,-,-,-.29,-,-,-,-,,Antisense Therapeutic,,.018,-,.017,.018,.018,.017,+.40,.039,.006,,
ANPO,352.579,49.158,176.397,-,-,-,-,-,-,-,-,,  opt jul12,,.008,-,.008,.009,.008,.008,+.40,.027,.002,,
