ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, March 21, 2014,,,,,,,,,,,,,,,,,,,,
"XAO 5354.0 at 2014-03-21T16:43:06. Report at Friday, March 21, 2014. Processed Saturday at 2014-03-22T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
APA,12837.8,133.225,114.099,5.483,1.37,4.79,21.14,31.0,36.00,.59,5.49,,APA Grp,,6.56,+5,6.52,6.56,6.62,6.45,+.64,6.97,5.78,,
APN,14298.8,120.977,125.031,.587,-.18,-,.39,146.2,-,-,-,,APN News & Media,,.57,-5,.57,.585,.63,.57,-8.19,.675,.220,,
APD,361.950,6.897,1.084,.064,.22,1.34,2.92,10.1,1.25,2.34,4.24,f,APN Prop Grp,,.295,+1,.285,.30,.295,.285,+3.38,.30,.185,,
ALA,1853.03,34.964,3.368,.006,.11,2.05,-.55,-,-,-,-,,Applabs Tech,†,.225,-1.5,.225,.23,.25,.225,-6.38,.34,.003,,
AQU,42.000,.133,-,.034,-,-,-,-,-,-,-,,Aquaint Capital,,.45,+4,.40,.58,.53,.41,+9.63,.70,.41,,
ARP,3044.53,10.712,4.988,.870,2.38,5.04,57.39,20.9,28.50,2.01,2.37,f,ARB Corp,,12.00,-23,11.98,12.00,12.30,11.90,-2.01,13.88,10.46,,
AAD,8365.52,88.684,74.520,1.045,.76,3.39,9.08,28.4,12.20,.74,4.73,p,Ardent Leisure Grp,,2.58,+11,2.56,2.59,2.59,2.45,+4.33,2.59,1.415,,
ARF,1122.66,9.095,-,.246,1.03,1.13,6.12,19.0,6.82,.90,5.85,,Arena REIT,†,1.165,-1.5,1.165,1.19,1.19,1.16,-1.40,1.25,1.02,,
ARG,617.129,8.424,11.531,4.677,7.31,.99,29.80,24.2,27.00,1.10,3.74,f,Argo Invest,,7.22,-1,7.22,7.24,7.28,7.22,-.27,7.44,6.03,,
ARA,261.840,2.138,.825,.072,.35,1.00,1.58,22.2,1.00,1.58,2.86,p,Ariadne Aust,,.35,+1.5,.35,.36,.35,.335,+4.35,.36,.25,,
ALL,14962.2,110.733,96.573,3.000,.41,13.27,19.50,27.9,14.50,1.34,2.67,,Aristocrat Leisure,,5.44,+27,5.42,5.49,5.52,5.12,+5.09,5.52,3.53,,
AIK,-,15.073,.966,.024,.15,.70,1.00,10.5,-,-,-,,Armidale Invest,,.105,-,.105,.11,.105,.105,-.13,.11,.041,,
AWN,212.941,2.680,-,.131,.03,26.67,5.94,13.5,3.25,1.83,4.06,,Arowana Internat,,.80,-,.755,.795,.85,.77,-.13,.95,.007,,
ARI,49397.0,462.740,492.788,1.749,1.34,.96,-2.06,-,9.00,-,7.00,,Arrium,,1.285,-6,1.28,1.29,1.377,1.265,-4.59,1.875,.675,,
AEM,5145.10,32.793,12.440,.005,-,-,-.25,-,-,-,-,,Artist & Entertain,,.012,-.1,.012,.013,.013,.011,-7.82,.022,.01,,
AJR,2061.99,68.754,66.725,.002,-,-,-.17,-,-,-,-,,Arunta Resources,,.003,-,.002,.003,.003,.002,-.13,.018,.002,,
AJROB,-,1.730,.248,-,-,-,-,-,-,-,-,,  opt dec14,,.001,-,-,.001,.001,.001,-.13,.008,.001,,
AIO,29093.5,185.666,256.006,5.131,.97,5.42,33.70,15.6,12.00,2.81,2.28,f,Asciano,,5.26,-16,5.25,5.27,5.48,5.22,-3.08,6.23,4.57,,
AFA,54.700,.712,.876,.089,.04,5.00,-8.89,-,-,-,-,,ASF Grp,,.20,-3,.175,.20,.23,.175,-13.17,.235,.09,,
ASZ,662.514,20.800,42.628,.080,-,-,-8.21,-,-,-,-,f,ASG Grp,,.385,-.5,.385,.39,.395,.385,-1.41,.515,.28,,
AJD,457.600,5.652,-,.124,1.02,1.06,5.10,21.2,8.56,.60,7.93,,Asia Pacific Data,,1.08,+1.5,1.07,1.10,1.11,1.065,+1.28,1.20,.99,,
AJJ,28.250,.470,.758,.019,.03,3.00,.11,81.8,.20,.55,2.22,,Asian American Med,,.09,-.6,.085,.105,.096,.09,-6.38,.18,.085,,
AUF,190.667,2.843,2.059,.129,1.01,.99,-.69,-,3.00,-,3.00,,Asian Masters Fund,,1.00,-6,1.00,1.03,1.05,1.00,-5.79,1.15,.945,,
AKF,30.016,1.556,3.651,.012,.18,.97,-2.06,-,-,-,-,,ASK Funding,,.175,-,.175,.18,.175,.175,-.13,.19,.115,,
APZ,443.527,7.291,78.628,.149,1.65,.75,-58.79,-,15.00,-,12.10,,Aspen Grp,†,1.24,+1,1.235,1.295,1.30,1.23,+.68,2.10,1.15,,
ASP,11.000,.050,.235,.012,-.09,-,.26,18.8,-,-,-,,Aspermont,,.049,+.9,.04,.10,.049,.04,+22.37,.08,.04,,
AIR,65.000,.312,1.167,.004,.20,.68,-8.01,-,-,-,-,,Astivita,,.135,+1,-,.14,.135,.125,+7.87,.235,.085,,
AJA,538.608,8.958,8.847,.257,5.68,.67,214.94,1.8,20.00,10.75,5.22,,Astro Japan Prop Grp,,3.83,+2,3.83,4.00,3.99,3.81,+.40,4.10,2.92,,
ATR,40.070,.192,.167,.119,-,-,-5.21,-,-,-,-,,Astron Corp,,.975,-8.5,.93,1.09,1.06,.975,-8.15,1.10,.71,,
ASX,2816.14,27.535,39.187,6.981,6.60,5.46,196.10,18.4,170.50,1.15,4.73,f,ASX,,36.06,-4,35.92,36.33,36.22,35.71,-.24,39.38,32.06,,
ACG,414.674,35.018,45.006,.019,.03,4.00,-.34,-,-,-,-,,Atcor Medical,,.12,-,.12,.13,.125,.12,-.13,.225,.069,,
ATP,1247.06,30.003,5.021,.022,.09,.77,.64,10.8,-,-,-,,Atlas Pearls&Perfumes,,.069,+.7,.068,.072,.069,.062,+11.16,.07,.034,,
AIA,412.350,5.095,6.629,4.920,1.75,2.13,12.69,29.3,10.09,1.26,2.71,,Auckland Airport,,3.72,+3,3.61,3.78,3.97,3.61,+.68,3.97,2.25,,
AKP,30.936,.134,.245,.081,.19,16.58,-8.46,-,-,-,-,,Audio Pixels,,3.15,-20,3.15,3.19,3.60,3.15,-6.10,5.78,2.19,,
AZJ,28889.1,261.083,742.869,10.964,2.99,1.72,17.40,29.5,16.20,1.07,3.16,p,Aurizon Hldgs,,5.13,+1,5.11,5.14,5.16,5.045,+.07,5.255,3.77,,
AUP,4.990,.033,.080,.013,5.31,1.01,-,-,43.20,-,8.04,,Aurora Prop,,5.37,-13,5.37,5.55,5.50,5.37,-2.49,5.73,5.101,,
ABW,254.888,3.890,1.124,.021,1.07,1.01,5.05,21.4,6.36,.79,5.89,,Aurora Absolute Return,,1.08,+.5,1.07,1.08,1.08,1.07,+.34,1.09,1.045,,
AOD,225.701,2.753,2.803,.028,1.02,.99,13.29,7.6,5.98,2.22,5.95,p,Aurora Div Inc Tr,†,1.005,-.5,1.005,1.01,1.02,1.005,-.62,1.055,.935,,
AFV,12.379,.728,.540,.006,.30,1.87,-1.63,-,-,-,-,,Aurora Funds,,.56,-6,.56,.595,.62,.56,-9.81,.72,.25,,
AIB,64.229,.389,.288,.008,.93,.99,-2.35,-,9.83,-,10.63,,Aurora Global Inc Tr,,.925,-,.915,.93,.93,.925,-.13,1.045,.895,,
AQF,87.698,.905,1.035,.064,1.89,.99,9.01,20.9,9.00,1.00,4.79,f,Aust Gov Index Fund,,1.88,-7,1.86,1.90,1.88,1.86,-3.72,1.99,1.63,,
ANB,-,.060,.674,.025,.16,.75,.50,24.0,-,-,-,,Aust New Agri,,.12,-,.10,.12,.12,.12,-.13,.24,.12,,
AZF,126.437,.555,1.179,.072,2.56,.99,28.34,8.9,14.85,1.91,5.87,,Aust Social Infra Fd,,2.53,+3,2.47,2.53,2.55,2.45,+1.07,2.55,2.05,,
ASL,16468.4,119.734,88.950,.292,2.41,.39,18.54,5.0,8.00,2.32,8.56,f,Ausdrill,,.935,+2,.915,.94,.95,.885,+2.06,2.95,.76,,
AAX,1812.20,33.647,16.144,.093,.32,1.73,-25.00,-,12.10,-,21.80,,Ausenco,,.555,-3,.555,.57,.605,.55,-5.26,3.493,.55,,
AAP,-,3.554,2.182,.002,.03,.40,-.45,-,-,-,-,,Aust Agricultural,,.012,-,.011,.014,.012,.012,-.13,.016,.008,,
AAC,2370.77,22.633,21.122,.668,1.58,.79,-9.02,-,-,-,-,,Aust Agriculture,,1.255,-1.5,1.23,1.26,1.275,1.225,-1.31,1.30,.997,,
AAK,3454.54,19.428,10.412,.004,.02,.05,.01,10.0,-,-,-,,Aust China Hldgs,,.001,-,.001,.002,.001,.001,-.13,.002,.001,,
AEU,16170.4,31.678,5.249,.355,1.40,1.24,25.96,6.7,8.90,2.92,5.14,,Aust Education,,1.73,+12,1.63,1.80,1.73,1.615,+7.33,1.73,1.317,,
AYF,13.037,.072,.182,.014,6.42,1.00,42.50,15.1,41.25,1.03,6.43,p,Aust Enhanced,,6.42,+1,6.42,6.45,6.48,6.41,+.03,6.49,6.22,,
AEF,.156,.021,.017,.032,8.34,3.72,175.57,17.7,125.00,1.40,4.03,f,Aust Ethical,,31.00,-,30.75,31.00,31.03,31.00,-.13,31.50,19.50,,
