ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, January 24, 2014,,,,,,,,,,,,,,,,,,,,
"XAO 5254.3 at 2014-01-24T16:41:36. Report at Friday, January 24, 2014. Processed Saturday at 2014-01-25T23:15:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
AIO,9411.59,35.234,43.468,5.521,.86,6.58,34.90,16.2,11.50,3.03,2.03,f,Asciano,,5.66,-6,5.60,5.72,5.78,5.57,+.12,6.23,4.57,,
AFA,38.848,.076,.370,.045,-,-,-9.82,-,-,-,-,,ASF Grp,,.10,+.5,.095,.10,.10,.09,+6.43,.217,.09,,
ASZ,2877.57,7.819,6.637,.099,-,-,-13.72,-,-,-,-,f,ASG Grp,,.48,+2,.465,.48,.50,.46,+5.52,.685,.28,,
AJD,289.334,.959,-,.121,-,-,-,-,-,-,-,,Asia Pacific Data,,1.05,+.5,1.05,1.06,1.06,1.04,+1.65,1.20,.99,,
AJJ,-,.059,.468,.023,.03,3.67,.11,100.0,.20,.55,1.82,,Asian American Med,,.11,-,.10,.11,.11,.11,+1.17,.20,.10,,
AUF,271.836,.553,.293,.144,1.07,1.05,-.74,-,2.00,-,1.79,,Asian Masters Fund,,1.12,-1,1.12,1.16,1.14,1.10,+.28,1.15,.945,,
AKF,43.333,.631,.040,.012,.19,.97,-1.23,-,-,-,-,,ASK Funding,,.185,+.5,.18,.19,.185,.18,+3.95,.19,.115,,
APZ,297.771,.681,22.742,.177,2.21,.67,-28.40,-,15.00,-,10.17,,Aspen Grp,†,1.475,-.5,1.475,1.48,1.525,1.47,+.83,2.30,1.43,,
ASP,-,-,.100,.012,-.10,-,-.02,-,-,-,-,,Aspermont,,.049,-,.04,.10,.049,.049,+1.17,.10,.049,,
AIR,20.998,.119,.060,.004,.24,.56,-10.34,-,-,-,-,,Astivita,,.135,+.5,.135,.14,.135,.135,+5.01,.241,.085,,
AJA,1583.18,2.569,4.002,.265,3.75,1.05,20.76,19.0,17.50,1.19,4.43,,Astro Japan Prop Grp,,3.95,+25,3.92,3.97,3.98,3.60,+7.93,3.98,2.94,,
ATR,-,.004,.025,.091,-,-,-4.46,-,-,-,-,,Astron Corp,,.74,-,.73,1.05,.74,.74,+1.17,1.16,.71,,
ASX,2897.91,6.192,9.407,6.969,5.04,7.14,195.50,18.4,170.20,1.15,4.73,f,ASX,,36.00,-19,36.00,36.07,36.57,35.85,+.64,39.38,32.06,,
ACG,4060.11,23.521,1.098,.021,.03,4.50,1.80,7.5,-,-,-,,Atcor Medical,,.135,-1,.135,.14,.15,.13,-5.73,.225,.069,,
ATP,1027.20,3.144,.755,.018,.10,.59,.65,9.1,-,-,-,,Atlas Pearls&Perfumes,,.059,-,.059,.063,.066,.059,+1.17,.07,.034,,
AIA,555.052,.840,.277,4.563,1.59,2.17,11.34,30.4,10.09,1.12,2.92,,Auckland Airport,,3.45,+3,3.41,3.45,3.47,3.35,+2.05,3.47,2.15,,
AKP,7.898,.022,.107,.090,.27,13.00,-8.39,-,-,-,-,,Audio Pixels,,3.51,-24,3.51,3.90,3.75,3.51,-5.23,5.79,2.19,,
AZJ,22167.9,54.338,86.194,10.729,-,-,19.80,25.4,12.30,1.61,2.45,p,Aurizon Hldgs,,5.02,+7,5.00,5.03,5.08,4.88,+2.58,5.08,3.77,,
AUP,3.500,.005,.017,.013,5.41,1.00,-,-,43.40,-,8.02,,Aurora Prop,,5.41,+6,5.30,5.40,5.41,5.38,+2.29,5.73,5.101,,
ABW,1403.24,1.506,.356,.019,1.06,1.00,3.68,28.9,6.37,.58,5.98,,Aurora Absolute Return,,1.065,-,1.06,1.065,1.065,1.06,+1.17,1.09,1.045,,
AOD,85.866,.387,.263,.025,1.03,.98,11.87,8.5,5.83,2.04,5.80,p,Aurora Div Inc Tr,†,1.005,-.5,.995,1.00,1.01,1.005,+.67,1.055,.935,,
