ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, December 7, 2012,,,,,,,,,,,,,,,,,,,,
"XAO 4555.9 at 2012-12-07T16:45:05. Report at Friday, December 7, 2012. Processed Saturday at 2012-12-08T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
AFA,138.151,12.075,11.447,.073,.09,2.61,6.88,3.4,-,-,-,,ASF Grp,,.235,-,.21,.235,.235,.22,-.84,.245,.11,,
ASZ,2112.44,117.426,53.852,.119,-,-,8.52,6.7,5.00,1.70,8.70,f,ASG Grp,,.575,+1,.575,.595,.605,.56,+.93,.924,.50,,
AJJ,100.000,4.096,7.059,.030,.02,8.00,1.05,15.2,.40,2.63,2.50,,Asia Liver Trans,,.16,-.3,.12,.16,.16,.15,-2.71,.17,.085,,
AUF,192.227,33.974,10.040,.128,.88,1.08,-.79,-,3.00,-,3.16,,Asian Masters Fund,,.95,+2,.95,.96,.96,.93,+1.31,.96,.83,,
AKF,-,16.151,15.213,.010,.20,.72,-.80,-,-,-,-,,ASK Funding,,.145,-,.145,.15,.145,.145,-.84,.16,.10,,
APZ,8929.03,416.970,204.667,.269,.50,.45,-17.07,-,3.15,-,14.00,,Aspen Grp,,.225,+.5,.22,.225,.225,.21,+1.43,.439,.165,,
ASP,-,2.709,4.687,.024,-.04,-,-.11,-,-,-,-,,Aspermont,,.10,-,.08,.10,.10,.10,-.84,.14,.08,,
AIR,38.463,2.446,2.759,.005,.46,.48,-2.43,-,4.00,-,18.18,,Astivita Renewables,,.22,-,.22,.255,.26,.22,-.84,.66,.22,,
AJA,442.339,19.507,30.891,.174,4.37,.68,-75.68,-,15.00,-,5.03,,Astro Japan Prop Grp,,2.98,-2,2.90,3.08,3.06,2.96,-1.50,3.29,1.885,,
ATR,9.920,2.458,3.819,.141,-,-,-.80,-,-,-,-,,Astron Corp,†,1.15,-3,1.15,1.20,1.17,1.15,-3.38,2.85,1.15,,
ASX,3302.66,154.213,197.216,5.275,3.85,7.82,193.70,15.5,177.90,1.09,5.91,f,ASX,,30.12,+68,30.00,30.15,30.15,29.44,+1.47,33.49,27.53,,
ACG,-,7.825,28.828,.011,.01,7.50,-1.50,-,-,-,-,,Atcor Medical,,.075,-,.064,.075,.075,.075,-.84,.095,.06,,
ATP,814.435,19.066,9.077,.011,.11,.44,-.74,-,-,-,-,,Atlas Southsea Pearl,,.048,+.2,.048,.05,.048,.045,+3.51,.093,.045,,
AIA,61.550,7.807,10.660,2.830,1.46,1.47,8.43,25.4,8.28,1.02,3.87,,Auckland Airport,,2.14,+6,2.09,2.14,2.14,2.08,+2.05,2.15,1.80,,
AKP,9.658,1.007,1.637,.142,.10,61.00,-8.49,-,-,-,-,,Audio Pixels,,6.10,-70,6.02,6.10,6.60,6.10,-11.13,6.99,4.67,,
AZJ,26025.3,1988.63,2443.79,7.716,2.98,1.21,18.10,19.9,8.30,2.18,2.30,,Aurizon Hldgs,,3.61,-,3.60,3.63,3.68,3.56,-.84,4.03,3.07,,
