ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, October 2, 2015,,,,,,,,,,,,,,,,,,,,
"XAO 5089.2 at 2015-10-02T16:46:05. Report at Friday, October 2, 2015. Processed Saturday at 2015-10-03T23:15:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ALTOA,354.166,11.428,-,-,-,-,-,-,-,-,-,,  opt feb18,,.002,-,.002,.003,.002,.002,-.25,.002,.002,,
ANR,105.670,10.254,-,.027,.15,5.00,-5.32,-,-,-,-,,Anatara Lifesciences,,.75,-2,.71,.75,.77,.75,-2.84,1.00,.28,,
AB1,50.047,10.396,60.288,.010,.03,5.67,-12.45,-,-,-,-,,Animoca Brands,†,.17,-1,.17,.18,.18,.17,-5.80,.28,.013,,
ANN,5978.51,145.098,98.694,2.839,.30,61.53,159.51,11.6,56.86,2.81,3.08,,Ansell,,18.46,-144,18.35,18.50,19.81,18.38,-7.48,30.40,18.11,,
ANO,807.864,76.161,210.056,.017,.01,2.90,.03,96.7,-,-,-,,Antaria,,.029,+.1,.028,.03,.029,.027,+3.32,.044,.017,,
ADO,2978.31,245.994,607.675,.090,.01,10.50,-.50,-,-,-,-,,Anteo Diagnostics,,.105,+.7,.10,.105,.105,.093,+6.90,.165,.069,,
ANP,411.272,36.356,62.743,.015,.04,2.08,.45,18.4,-,-,-,,Antisense Therapeut,,.083,+.7,.08,.084,.086,.077,+8.96,.17,.075,,
ANPO,-,3.556,14.076,-,-,-,-,-,-,-,-,,  opt jan17,,.02,-,.02,.025,.02,.02,-.25,.06,.02,,
ANZ,38779.7,1234.12,962.683,78.170,15.75,1.71,270.70,9.9,181.00,1.50,6.72,f,ANZ Banking Grp,,26.93,-7,26.92,27.00,27.63,26.38,-.51,37.25,26.38,,
ZYAU,2.240,.090,-,-,-,-,-,-,-,-,-,,ANZ ETFS ASX300 Yld,,9.30,+2,9.10,9.27,9.30,9.05,-.03,10.30,9.05,,
ZGOL,.290,.011,-,-,-,-,-,-,-,-,-,,ANZ ETFS Physical Gold,,15.85,-29,15.48,15.81,16.14,15.85,-2.04,16.14,14.74,,
ZCNH,-,.026,-,.001,-,-,-,-,-,-,-,,ANZ ETFS Renminbi,,10.61,-,10.60,11.48,10.61,10.61,-.25,10.61,9.88,,
ZYUS,18.169,.477,-,.003,-,-,-,-,-,-,-,,ANZ ETFS S&P 500 Yld,,10.82,-10,10.76,10.81,10.92,10.76,-1.16,11.02,9.92,,
ZUSD,1.288,.049,-,.001,-,-,-,-,-,-,-,,ANZ ETFS USD,,10.95,-1,10.89,10.91,10.96,10.94,-.34,11.06,9.95,,
ZOZI,4.408,.043,-,.002,-,-,-,-,-,-,-,,ANZ ETFS ASX 100,,9.43,+10,9.24,9.34,9.43,9.14,+.82,10.26,9.14,,
APE,146.163,12.747,8.574,1.837,2.61,3.82,48.80,20.5,30.00,1.63,3.01,f,AP Eagers,,9.98,+11,9.98,10.10,10.23,9.85,+.87,10.89,5.20,,
APA,12343.3,491.445,373.262,9.572,-.28,-,56.30,15.3,38.00,1.48,4.42,,APA Grp,,8.59,-9,8.55,8.78,8.82,8.42,-1.28,9.88,6.834,,
APN,14525.7,846.665,416.272,.504,-.29,-,-.53,-,-,-,-,,APN News & Media,,.49,-1.5,.48,.495,.51,.48,-3.22,1.08,.47,,
APO,2130.63,83.235,-,.646,.09,43.11,7.73,50.2,4.50,1.72,1.16,f,APN Outdoor Grp,,3.88,-2,3.70,3.96,3.92,3.77,-.76,3.99,2.42,,
APD,525.114,31.384,21.420,.107,.29,1.22,5.71,6.2,1.50,3.81,4.23,f,APN Prop Grp,,.355,+.5,.34,.355,.355,.325,+1.18,.43,.306,,
APX,733.111,28.108,-,.106,.13,8.46,2.81,39.1,1.20,2.34,1.09,f,Appen,,1.10,+9,1.10,1.115,1.13,1.01,+8.66,1.13,.48,,
ALA,32.956,26.109,92.343,.004,-,-,-6.95,-,-,-,-,,Applabs Tech,,.095,+1.3,.079,.095,.095,.082,+15.61,.225,.082,,
ALAO,-,20.301,16.534,-,-,-,-,-,-,-,-,,  opt may16,,.008,-,.004,.009,.008,.008,-.25,.06,.007,,
ARB,1057.54,32.590,25.884,1.102,2.61,5.33,57.80,24.1,29.00,1.99,2.08,f,ARB Corp,,13.92,+52,13.30,14.10,14.09,13.03,+3.63,14.49,10.49,,
AAD,9353.69,466.733,264.931,1.224,.76,3.59,7.38,37.0,12.50,.59,4.58,,Ardent Leisure Grp,,2.73,-2,2.72,2.75,2.80,2.61,-.97,3.49,1.75,,
