ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, June 21, 2013,,,,,,,,,,,,,,,,,,,,
"XAO 4723.8 at 2013-06-21T16:17:05. Report at Friday, June 21, 2013. Processed Saturday at 2013-06-22T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
TRG,147.353,3.309,1.259,.164,2.58,2.76,37.21,19.1,37.00,1.01,5.20,f,Treasury Grp,,7.12,-17,6.91,7.20,6.95,6.75,-1.37,7.11,3.92,,
TWE,2198.33,410.485,386.322,3.896,3.02,1.99,15.80,38.1,13.00,1.22,2.16,p,Treasury Wine Estates,,6.02,-7,6.00,6.02,5.88,5.785,-.10,6.47,4.27,,
TYO,-,.010,.034,.033,.14,.75,1.55,6.8,-,-,-,,Treyo Leisure,,.105,-,-,.19,.105,.105,+1.08,.17,.084,,
TCQ,1868.60,12.548,14.545,.051,.38,.68,7.24,3.6,-,-,-,,Trinity Grp,,.26,+.5,.26,.27,.27,.26,+3.01,.279,.221,,
TAU,31.196,.651,.789,.003,.27,.37,-5.30,-,-,-,-,,Trustees Australia,,.10,+.6,.10,.105,.10,.10,+7.47,.105,.08,,
TTA,-,.500,.414,.009,.11,.59,1.40,4.6,.40,3.50,6.15,f,TTA Hldgs,,.065,-,.065,.07,.06,.06,+1.08,.065,.044,,
TUP,187.637,3.992,-,.020,-,-,-,-,-,-,-,,TTG Mobile Coupon,,1.93,+8,1.80,1.96,1.97,1.89,+5.32,1.97,.725,,
TWH,4143.72,19.013,10.665,.002,-,-,133.30,.0,-,-,-,,TW Hldgs,,.006,+.2,.006,.008,.006,.005,+51.08,.014,.003,,
TWT,-,.534,.636,.002,.23,.12,-4.26,-,-,-,-,,TWT Grp,,.028,-,.028,.075,.028,.028,+1.08,.045,.028,,
TDX,-,104.163,373.692,.001,-,-,.01,10.0,-,-,-,,Tyrian Diagnostics,,.001,-,-,.001,.001,.001,+1.08,.002,.001,,
