ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, July 24, 2015,,,,,,,,,,,,,,,,,,,,
"XAO 5556.8 at 2015-07-24T16:34:36. Report at Friday, July 24, 2015. Processed Saturday at 2015-07-25T23:15:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
AOWO,-,1.695,-,.002,-,-,-,-,-,-,-,,  opt oct16,,.022,-,.005,.025,.022,.022,+1.69,.06,.02,,
AMP,31202.9,1074.49,1162.47,18.841,1.42,4.49,30.30,21.0,26.00,1.17,4.08,p,AMP,,6.37,-,6.35,6.39,6.45,6.27,+1.69,6.83,5.02,,
AGF,7447.34,171.883,54.148,.568,1.93,.76,48.82,3.0,2.92,16.72,1.99,,AMP Capital China,,1.47,+11,1.46,1.47,1.495,1.305,+9.78,1.875,.74,,
AYK,-,.015,.047,.085,85.10,1.01,320.84,26.7,312.00,1.03,3.65,f,Aust Masters YF4,,85.54,-,85.46,-,85.54,85.54,+1.69,90.91,84.64,,
AYD,1.000,.009,.029,.056,61.52,1.01,449.89,13.7,395.00,1.14,6.39,f,Aust Masters YF1,,61.85,-19,61.86,-,62.04,61.85,+1.39,79.918,61.62,,
AYJ,-,.010,.036,.073,74.54,1.01,485.00,15.5,480.00,1.01,6.39,f,Aust Masters YF3,,75.13,-,75.28,-,75.13,75.13,+1.69,76.347,73.563,,
AYH,-,.008,.013,.034,80.33,1.01,420.00,19.3,382.00,1.10,4.71,f,Aust Masters YF2,,81.05,-,81.11,-,81.05,81.05,+1.69,90.726,79.745,,
ANQ,11319.3,320.869,1127.57,.010,-,-,-.20,-,-,-,-,,AnaeCo,,.004,-,.003,.004,.004,.003,+1.69,.008,.003,,
ALT,4456.30,198.870,292.781,.008,-,-,-.46,-,-,-,-,,Analytica,*,.008,-.2,.008,.009,.01,.008,-18.31,.039,.007,,
ALTR,5263.62,5.264,-,-,-,-,-,-,-,-,-,,  rts 27jul,,.001,-,-,.001,.001,.001,-,.001,.001,,
ANR,526.312,8.058,-,.027,.02,44.25,-2.61,-,-,-,-,,Anatara Lifesciences,,.885,+7.5,.88,.895,.965,.81,+10.95,1.00,.28,,
AB1,159.428,9.106,55.550,.009,-,-,-13.45,-,-,-,-,,Animoca Brands,†,.20,-1.5,.195,.21,.215,.20,-5.28,.28,.013,,
ANN,2771.20,86.026,78.218,3.769,.63,39.06,45.53,54.1,49.24,.92,2.00,,Ansell,,24.61,-68,24.50,24.89,26.17,24.35,-.99,30.40,18.11,,
ANO,7247.72,55.378,143.341,.023,.01,4.00,.03,133.3,-,-,-,,Antaria,,.04,+.7,.039,.04,.044,.033,+22.91,.044,.014,,
ADO,4480.45,191.791,511.942,.081,-,-,-.50,-,-,-,-,,Anteo Diagnostics,,.094,+1.5,.093,.094,.094,.078,+20.68,.175,.069,,
ANP,981.481,31.896,47.236,.019,.01,11.00,-2.15,-,-,-,-,,Antisense Therapeut,,.11,-1,.098,.11,.115,.096,-6.64,.185,.08,,
ANPO,380.000,2.994,10.034,.001,-,-,-,-,-,-,-,,  opt jan17,,.027,-.9,.027,.035,.036,.027,-23.31,.06,.025,,
ANZ,27332.5,797.372,716.062,89.569,15.75,2.03,270.70,11.8,181.00,1.50,5.65,f,ANZ Banking Grp,,32.05,-39,32.05,32.21,33.16,31.92,+.49,37.25,30.47,,
ZYAU,11.071,.039,-,.001,-,-,-,-,-,-,-,,ANZ ETFS ASX300 Yld,,10.03,-2,9.96,10.05,10.07,10.03,+1.49,10.17,9.69,,
ZGOL,2.559,.003,-,-,-,-,-,-,-,-,-,,ANZ ETFS Physical Gold,,14.85,-41,14.84,14.89,15.13,14.85,-.99,15.39,14.85,,
