Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
Based on Market Capitalisation at close of trade Friday, April 10, 2015,,,,,,,,,,,,,,,,,,,,
"XAO 5935.4 at 2015-04-10T16:39:06. Report at Friday, April 10, 2015. Processed Saturday at 2015-04-11T23:15:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
26,27,OSH,Oil Search,11.770,7.73,+63,9.88,6.87,12.68,,1.64,1.64,170.5,29.07,26.6,69.5,1.894,3.13,-7.9,4.1,,
27,26,GMG,Goodman Grp,11.395,6.50,+12,6.63,4.815,21.45,,3.30,3.30,6.7,58.36,11.1,7.0,1.744,3.15,36.4,26.9,,
28,28,SGP,Stockland,10.864,4.60,+5,4.82,3.72,24.00,,5.22,5.22,-100.0,29.66,15.5,6.9,1.323,-,31.6,24.4,,
29,29,NCM,Newcrest Min,10.777,14.06,+28,14.49,8.51,-,,-,-,-100.0,-268.90,-,-4.3,1.288,10.81,30.9,-23.8,,
30,32,APA,APA Grp,10.441,9.37,+36,9.69,6.170,36.25,,3.87,3.87,2.1,82.16,11.4,3.2,4.013,2.47,53.6,30.0,,
31,30,AZJ,Aurizon Hldgs,10.386,4.89,+2,5.265,4.15,18.60,,3.80,3.80,34.2,21.20,23.1,30.8,1.666,2.98,1.1,13.8,,
32,34,CWN,Crown Resorts,10.292,14.13,+79,16.82,11.66,37.00,p,2.62,3.18,-,65.22,21.7,30.4,2.440,4.14,-17.6,18.7,,
33,31,AGL,AGL Energy,10.195,15.11,-1,15.590,12.55,63.00,f,4.17,5.96,-,103.90,14.5,-14.2,1.302,8.49,1.0,4.1,,
34,33,LLC,Lend Lease Grp,9.787,16.86,-14,17.72,12.425,76.00,,4.51,4.51,69.0,162.10,10.4,47.9,1.984,6.16,47.5,36.6,,
35,35,CTX,Caltex Aust,9.418,34.88,+3,38.81,21.00,70.00,f,2.01,2.87,105.9,7.40,471.4,-48.8,4.036,8.64,74.9,42.4,,
36,36,SHL,Sonic Healthcare,8.402,20.90,+43,21.47,16.50,69.00,p,3.30,4.08,8.1,95.20,22.0,13.3,2.592,2.81,20.5,21.8,,
37,38,CCL,Coca-Cola Amatil,8.399,11.00,+32,11.00,8.19,42.00,p,3.82,5.05,-25.0,35.60,30.9,-25.4,4.953,1.76,3.5,-,,
