Australian Sharemarket: Top 300 Stocks
"Based on Market Capitalisation at close of trade Friday, October 30, 2015"
"XAO 5288.6 at 2015-10-30T16:38:35. Report at Friday, October 30, 2015. Processed Monday at 2/11/2015 5:03:53 PM."



This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
80,80,SOL,Soul Pattinson WH,3.854,16.10,-1,16.41,12.18,50.00,f,3.11,4.44,4.2,34.81,46.3,57.7,1.022,12.31,17.3,9.6,
81,79,FLT,Flight Centre Travel,3.827,37.95,-114,47.38,29.88,152.00,f,4.01,5.72,-,254.70,14.9,-1.4,3.104,8.77,-2.9,17.8,
82,82,MYT,Mighty River Power,3.696,2.64,+12,3.49,2.19,12.84,,4.86,4.86,18.6,3.03,87.1,-41.7,1.194,2.11,8.7,-,
83,83,MFG,Magellan Fin Grp,3.620,22.53,+106,22.86,13.28,74.90,f,3.32,4.75,95.6,109.20,20.6,108.2,11.363,1.78,66.1,82.7,
84,85,REH,Reece Aust,3.392,34.06,+6,36.50,30.05,76.00,f,2.23,3.19,18.8,166.00,20.5,34.6,3.656,6.87,5.3,21.5,
85,87,BTT,BT Invest Mgt,3.338,11.41,+75,11.46,6.06,37.00,p,3.24,3.80,94.4,49.80,22.9,101.8,4.850,.54,78.5,76.7,
86,86,SPH,Sphere Minerals,3.220,-,-,.778,.778,-,,-,-,-,-174.67,-,17700.0,-,-,298.6,60.3,
87,88,AIZ,Air New Zealand,3.130,2.79,+2,2.90,1.78,14.80,,5.30,5.30,58.1,25.85,10.8,14.1,1.786,1.47,67.2,52.2,
88,84,AWC,Alumina,3.125,1.085,-10.5,2.10,1.077,8.46,f,7.80,11.14,-,3.13,34.7,-,1.160,.95,-22.6,9.3,
89,89,ANN,Ansell,3.094,20.12,+42,30.40,18.28,56.86,,2.83,2.83,31.2,159.51,12.6,47.9,1.994,.30,1.5,10.5,
90,90,SKI,Spark Infrastructure,3.050,2.08,+9.5,2.29,1.70,11.75,,5.65,5.65,4.5,5.17,40.2,-16.6,1.577,1.92,10.9,12.3,
