Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
Based on Market Capitalisation at close of trade Friday, February 14, 2014,,,,,,,,,,,,,,,,,,,,
"XAO 5366.9 at 2014-02-14T16:38:06. Report at Friday, February 14, 2014. Processed Saturday at 2014-02-15T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
86,82,MLT,Milton Corp,2.685,4.28,-8,4.43,3.584,16.80,f,3.93,5.61,5.1,18.89,22.7,5.5,1.247,4.32,17.6,14.6,,
87,93,QAN,Qantas Airways,2.669,1.215,+15,1.90,.952,-,,-,-,-,.22,552.3,11.5,.448,2.34,-26.1,-19.5,,
88,89,NVT,Navitas,2.662,7.09,+29,7.14,4.61,19.60,f,2.76,3.95,-,20.20,35.1,2.0,11.291,-.60,46.6,22.9,,
89,85,MTS,Metcash,2.656,2.99,-2,4.27,2.89,26.00,f,8.70,12.42,-,25.38,11.8,-18.8,1.635,-.19,-21.0,-2.7,,
90,90,ABC,Adelaide Brighton,2.592,4.06,+19,4.145,3.13,16.50,f,4.06,5.81,-,23.20,17.5,3.5,2.571,1.30,16.3,11.9,,
91,88,MYT,Mighty River Power,2.576,1.84,+1,2.22,1.755,-,,-,-,-,-,-,-,.961,-,-,-,,
92,101,CRZ,carsales.com,2.523,10.61,+175,11.77,8.45,30.30,f,2.86,4.08,15.5,38.00,27.9,15.4,16.542,.33,18.1,33.1,,
93,91,SVW,Seven Grp Hldgs,2.459,7.98,+7,11.69,6.375,40.00,f,5.01,7.16,5.3,149.00,5.4,22.9,.810,5.94,-25.9,-,,
94,94,TWE,Treasury Wine Estates,2.427,3.75,+19,6.47,3.41,13.00,,3.47,3.81,-,6.50,57.7,8.1,.807,3.09,-27.4,-,,
95,92,PRY,Primary Health Care,2.348,4.65,-15,5.435,4.365,20.00,f,4.30,6.14,59.1,31.10,15.0,28.0,.875,1.33,-2.5,16.4,,
96,98,ARI,Arrium,2.321,1.705,+11.5,1.82,.675,5.00,,2.93,2.93,-16.7,-51.52,-,167.3,.622,1.25,48.9,-9.6,,
97,95,SKI,Spark Infrastructure,2.289,1.725,+6.5,1.867,1.535,10.75,,6.23,6.23,5.0,12.14,14.2,29.6,1.553,1.81,8.8,23.3,,
98,96,ALZ,Australand Prop,2.261,3.91,+11,4.02,3.14,21.50,,5.50,5.50,-,31.00,12.6,12.8,.990,3.57,19.1,15.8,,
99,97,PPT,Perpetual,2.249,48.34,+177,50.10,34.36,130.00,f,2.69,3.84,44.4,158.20,30.6,12.8,6.272,4.10,21.4,19.6,,
100,107,SGM,Sims Metal Mgt,2.187,10.70,+61,11.41,8.11,-,,-,-,-100.0,-228.10,-,-75.1,1.134,8.15,-1.8,-15.7,,
101,102,BKW,Brickworks,2.187,14.77,+54,15.50,11.58,40.50,f,2.74,3.92,-,57.60,25.6,26.7,1.271,9.82,18.9,13.3,,
102,103,MIN,Mineral Res,2.179,11.71,+45,12.35,7.99,48.00,f,4.10,5.86,4.3,97.48,12.0,1.6,2.141,5.08,8.6,1.3,,
103,99,SWM,Seven West Media,2.178,2.18,+6,2.595,1.815,12.00,f,5.50,7.86,-48.8,-7.10,-,-5.0,.761,-,-2.1,-18.1,,
104,109,IFL,IOOF Hldgs,2.168,9.34,+47,9.38,6.96,42.00,f,4.50,6.42,13.5,34.40,27.2,12.6,2.655,.03,18.9,13.0,,
105,105,ENV,Envestra,2.138,1.19,+3.5,1.192,.925,6.20,,5.21,5.21,6.9,6.60,18.0,36.5,2.540,.13,20.0,33.4,,
106,100,DOW,Downer EDI,2.130,4.90,+4,5.58,3.165,22.00,p,4.49,5.84,-,46.50,10.5,10.6,1.166,3.03,-5.0,11.5,,
107,110,DLX,DuluxGroup,2.123,5.57,+17,5.77,3.95,17.50,f,3.14,4.49,12.9,21.10,26.4,22.4,9.190,-.01,39.9,31.9,,
108,104,SUL,Super Retail Grp,2.117,10.76,+12,14.095,9.50,38.00,f,3.53,5.04,18.8,52.30,20.6,25.7,2.894,.21,-4.2,22.9,,
