Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
XAO 4925.9 at 16:34 1/4/2010  Report at 19:08 Thursday 1/4/2010. Processed 14:20 Monday 5/4/2010.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move ¢,Year High,Year Low,DPS ¢,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS ¢,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
95,95,JBH,JB Hi-Fi Ltd,2.195,20.26,,23.71,11.66,62,f,3.06,4.37,69.2,103.42,19.6,44.4,9.58,1.71,53.5,37.8
96,96,PRY,Primary Health Care,2.181,4.44,,6.56,3.98,22,f,4.95,7.08,-48.1,42.08,10.6,42.2,1.03,-1.15,6.5,-16.9
97,97,ATM,Aneka Tambang cdi  1:5,2.175,1.14,,1.14,0.97,2.94,,2.58,2.58,-100.0,0.7,162.9,-63.0,2.19,0.10,17.4,6.5
98,98,CGF,Challenger FSG Ltd,2.148,4.13,,4.50,1.52,13.5,,3.27,3.27,-,35.2,11.7,4.0,1.27,3.36,114.1,-3.5
99,99,MGX,Mount Gibson Iron,2.057,1.91,,1.985,0.555,-,,-,-,-,6.56,29.1,-56.7,2.64,0.78,203.2,20.4
100,100,FLT,Flight Centre,2.052,20.57,,21.31,5.25,26,f,1.26,1.81,-89.5,63.4,32.4,-33.1,3.36,2.56,242.5,11.4
101,101,GFF,Goodman Fielder,2.036,1.475,,1.78,1.01,11.25,,7.63,7.97,-22.2,14.4,10.2,-17.1,1.26,-0.16,37.8,-8.3
102,102,AIA,Auckland Airport,2.006,1.54,,1.654,1.171,6.68,,4.34,4.34,-4.1,5.63,27.4,-5.1,1.35,1.22,22.7,-8.0
103,103,BKW,Brickworks Ltd,1.989,13.51,,16.80,10.10,39.5,f,2.92,4.18,-,100.5,13.4,2.8,1.45,9.06,30.1,4.1
104,104,TEN,Ten Network Hldgs,1.981,1.895,,1.94,0.735,2,,1.06,1.50,-85.2,4.62,41.0,-47.6,2.46,-0.29,95.4,-12.0
105,105,CMJ,Consolidated Media,1.955,3.15,,3.44,1.96,16.5,f,5.24,6.67,-38.9,57.44,5.5,-23.1,4.28,0.88,55.9,-1.4
106,106,MYR,Myer Hldgs Ltd,1.931,3.32,,3.98,3.12,10.5,f,3.16,4.52,-,4.1,81.0,-,2.62,-0.21,-,-
107,107,EXT,Extract Res,1.917,7.90,,11.45,3.189,-,,-,-,-,-4.96,-,-28.9,18.46,-,63.9,112.8
108,108,APA,APA Grp stp,1.914,3.53,,3.68,2.60,31.75,,8.99,8.99,5.1,25,14.1,12.6,1.50,-,26.2,1.9
109,109,CPB,Campbell Brothers,1.913,30.39,,32.00,13.922,95,p,3.13,3.80,5.3,162.2,18.7,47.2,4.63,2.96,106.0,14.5
110,110,ILU,Iluka Res,1.897,4.53,,4.55,2.70,-,,-,-,-,-26.8,-,-,1.73,2.58,37.3,-3.8
111,111,RIV,Riversdale Min,1.84,9.32,,9.43,3.45,-,,-,-,-,-2.09,-,-96.9,3.63,2.04,114.3,66.5
112,112,TPM,TPG Telecom Ltd,1.839,2.42,,2.43,0.255,3,f,1.24,1.77,-,5.7,42.5,-,5.66,0.06,863.9,53.3
113,113,CPA,C'wlth Prop ord unt   ,1.807,0.905,,1.045,0.675,6.85,,7.57,7.57,-4.3,-11.41,-,-10.9,0.85,1.11,16.7,-9.0
114,114,NVT,Navitas Ltd,1.797,5.25,,5.56,2.26,16.9,f,3.22,4.60,31.2,16.8,31.2,32.8,18.23,-0.25,139.1,42.2
115,115,NUF,Nufarm Ltd,1.786,8.19,,14.46,8.12,15,,1.83,1.83,-22.9,-17.4,-,-11.1,1.10,3.07,-37.3,-11.3
116,116,MLT,Milton Corp,1.738,17.90,,19.40,14.00,70,f,3.91,5.59,-11.4,44.7,40.0,-40.8,1.40,17.65,31.2,-4.3
117,117,CEY,Centennial Coal,1.729,4.39,,4.48,1.67,8,p,1.82,2.41,-47.6,15.8,27.8,30.9,2.62,1.87,146.5,37.8
118,118,ABC,Adelaide Brighton,1.725,2.72,,3.01,1.84,13.5,f,4.96,7.09,-10.0,20.4,13.3,1.5,1.92,1.21,35.9,-2.5
119,119,CEU,ConnectEast stp,1.724,0.445,,0.49,0.273,2,,4.49,4.49,-79.9,-21.74,-,537.4,1.14,-,22.1,-28.6
120,120,WAN,West Aust News,1.694,7.93,,8.48,3.96,29,f,3.66,5.22,-37.7,37.3,21.3,-20.6,24.99,-,62.9,-17.8
121,121,TSE,Transfield Services,1.651,3.99,,4.80,2.07,12.25,f,3.07,4.39,-50.9,-15.18,-,-5.1,2.12,0.29,65.0,-20.1
122,122,HTA,Hutchison,1.629,0.12,,0.14,0.094,-,,-,-,-,6.27,1.9,-,-,0.10,-,-
123,123,IOF,ING Office Fd stp,1.597,0.585,,0.67,0.345,5.05,,8.63,8.63,-,-16.7,-,18.5,0.88,0.74,56.2,-19.3
124,124,ANN,Ansell Ltd,1.575,11.97,,12.87,7.58,29,,2.42,2.42,5.7,81.7,14.7,21.4,2.46,1.92,46.9,4.9
125,125,DUE,DUET Grp forus,1.571,1.805,,1.90,1.42,20,p,11.08,11.22,-7.5,4.39,41.1,104.1,1.09,-,23.7,-9.4
126,126,SKT,Sky Net,1.549,3.98,,4.15,3.05,11.39,,2.86,2.86,106.9,19.63,20.3,-8.2,1.60,-0.47,30.1,-7.8
127,127,VBA,Virgin Blue Hldgs,1.535,0.695,,0.80,0.215,-,,-,-,-100.0,-2.3,-,-,2.66,0.39,188.8,-32.2
128,128,IFL,IOOF Hldgs Ltd,1.535,6.68,,7.11,3.295,21,f,3.14,4.49,-86.7,19.5,34.3,-29.0,1.74,0.56,77.3,-10.2
129,129,REA,REA Grp,1.528,11.90,,11.96,4.15,10,,0.84,1.20,-,10.04,118.5,-95.8,16.35,0.45,178.5,26.3
130,130,PPT,Perpetual Ltd,1.527,35.32,,41.39,25.23,165,f,4.67,6.67,-69.7,183.4,19.3,-51.4,5.27,4.46,14.7,-20.3
