Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
Based on Market Capitalisation at close of trade Friday, August 1, 2014,,,,,,,,,,,,,,,,,,,,
"XAO 5547.6 at 2014-08-01T16:41:36. Report at Friday, August 1, 2014. Processed Saturday at 2014-08-02T23:15:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
124,125,SUL,Super Retail Grp,1.847,9.39,+7,14.095,7.89,39.50,f,4.21,6.01,18.8,53.90,17.4,25.7,2.525,.21,-21.9,20.4,,
125,126,DMP,Domino's Pizza,1.825,21.24,+33,22.98,11.335,33.10,f,1.56,2.23,16.1,41.70,50.9,14.1,17.793,-.01,54.9,50.1,,
126,120,MFG,Magellan Fin Grp,1.809,11.39,-77,14.38,9.30,33.00,f,2.90,4.14,377.8,57.00,20.0,242.7,11.822,1.14,11.0,109.3,,
127,127,ORA,Orora,1.792,1.485,+2,1.53,1.115,-,,-,-,-,-,-,-,1.378,-,-,-,,
128,133,VED,Veda Grp,1.751,2.08,+8.5,2.55,1.63,-,,-,-,-,-2.30,-,-,2.773,-.24,-,-,,
129,128,CTY,Country Road,1.740,16.80,-,17.50,2.949,44.38,f,2.64,3.77,272.8,54.39,30.9,147.1,7.352,.75,471.3,93.0,,
130,130,WHC,Whitehaven Coal,1.739,1.695,+.5,2.23,1.36,-,,-,-,-100.0,-4.80,-,-,.527,3.05,-14.6,-31.9,,
131,129,CMW,Cromwell Property,1.736,1.005,-,1.05,.935,7.62,,7.58,7.58,3.8,6.14,16.4,10.7,1.446,.71,5.0,22.0,,
132,131,TPI,Transpacific Indust,1.722,1.09,-,1.23,.83,-,,-,-,-,-5.90,-,1.6,.858,.61,12.4,13.8,,
133,134,GNE,Genesis Energy,1.670,1.67,+4,1.79,1.60,-,,-,-,-,-,-,-,.951,-,-,-,,
134,132,MQA,Macq Atlas Roads,1.638,3.24,-9,3.53,2.17,8.30,,2.56,2.56,-,295.80,1.1,-,1.871,1.80,42.7,28.3,,
135,136,GEM,G8 Education,1.634,4.92,+9,5.10,2.51,14.50,f,2.95,4.21,71.4,11.28,43.6,27.7,5.360,-.08,84.2,118.7,,
136,135,BWP,BWP Trust,1.611,2.54,-1,2.60,2.12,13.97,,5.50,5.50,-3.6,22.76,11.2,54.9,1.554,2.02,17.5,21.8,,
137,142,LNG,Liquefied Natural,1.576,3.53,+28,3.935,.175,-,,-,-,-,-5.56,-,25.0,1006.416,-,1758.1,105.8,,
138,141,PMV,Premier Invest,1.528,9.81,+47,9.98,7.15,39.00,f,3.98,5.68,5.6,115.99,8.5,1.4,1.175,3.06,26.2,26.9,,
139,139,CHC,Charter Hall Grp,1.496,4.30,+7,4.48,3.43,22.30,,5.19,5.19,11.0,17.60,24.4,13.4,2.021,2.15,30.6,39.0,,
140,137,AHD,Amalgamated Hldgs,1.492,9.45,-5,9.96,7.95,42.00,f,4.44,6.35,7.7,53.70,17.6,3.6,1.658,5.17,20.0,26.6,,
141,140,MND,Monadelphous Grp,1.468,15.84,+3,20.82,14.63,135.00,f,8.52,12.17,9.6,179.33,8.8,22.3,4.766,3.76,-8.2,-2.0,,
142,138,CQR,Charter Hall Ret REIT,1.465,3.97,-5,4.16,3.50,27.30,,6.88,6.88,2.7,17.14,23.2,2.5,1.307,3.36,15.9,14.4,,
143,147,PNA,PanAust,1.436,2.26,+6,2.48,1.45,6.00,,2.65,2.65,-14.3,6.84,33.0,-70.3,1.255,1.82,5.4,-13.1,,
144,150,NHF,NIB Hldgs,1.436,3.27,+20,3.38,2.07,10.25,f,3.13,4.48,8.1,16.00,20.4,2.6,4.401,.58,60.0,38.8,,
145,145,VAH,Virgin Australia,1.424,.405,-,.462,.28,-,,-,-,-,-8.20,-,-,1.369,.26,5.6,12.4,,
146,148,MEZCA,Meridian Energy,1.419,1.13,+2,1.205,.82,3.82,,3.38,3.38,-,4.60,24.6,-,.374,2.59,-,-,,
147,146,EBO,EBOS Grp,1.402,9.50,-,9.50,7.872,17.75,,1.87,1.87,-,31.25,30.4,-,-,5.98,-,-,,
148,144,ZNZ,Z Energy,1.400,3.50,-8,3.78,3.00,-,,-,-,-,-,-,-,2.369,-,17.7,-,,
149,149,IRE,IRESS,1.394,8.76,+5,10.38,7.93,38.00,p,4.34,5.89,2.5,17.28,50.7,-3.8,4.265,-.61,1.9,8.6,,
150,143,OZL,OZ Minerals,1.384,4.56,-19,4.88,2.11,20.00,,4.39,4.39,-33.3,-97.10,-,-,.594,6.84,13.2,-24.1,,
151,154,MYR,Myer Hldgs,1.376,2.35,+11,2.97,1.975,17.00,f,7.23,10.33,-5.3,20.50,11.5,-7.2,1.520,-.01,-8.4,12.2,,
152,153,MSB,Mesoblast,1.370,4.26,+18,6.80,3.91,-,,-,-,-,-21.09,-,-16.3,2.174,.25,-22.3,-18.8,,
153,151,GOZ,Growthpoint Prop,1.345,2.49,+1,2.662,2.315,19.00,,7.63,7.63,4.0,30.00,8.3,11.4,1.672,2.11,11.7,19.3,,
154,152,ABP,Abacus Prop,1.305,2.54,-5,2.60,2.14,16.75,,6.59,6.59,-,18.46,13.8,12.9,1.157,2.34,20.9,15.1,,
155,156,IFZ,Infratil,1.266,2.10,-,2.13,1.946,9.74,,4.64,4.64,33.7,32.24,6.5,439.9,.663,1.29,8.5,18.1,,
156,155,TME,Trade Me Grp,1.253,3.16,-12,4.36,3.06,14.43,,4.57,4.57,111.9,18.05,17.5,3.2,1.907,-.33,-13.1,-,,
157,157,GFF,Goodman Fielder,1.252,.64,-.5,.79,.475,4.00,,6.25,6.25,-,-.60,-,-45.8,.806,-.01,-8.4,3.6,,
158,160,SIR,Sirius Res,1.251,4.01,+12,4.16,1.92,-,,-,-,-,-18.19,-,2260.4,23.368,-,45.4,241.3,,
159,158,VRL,Village Roadshow,1.230,7.71,-8,8.275,5.598,26.00,f,3.37,4.82,18.2,22.20,34.7,5.4,2.150,1.30,36.2,46.6,,
160,162,IIN,iiNet,1.224,7.59,+14,8.08,5.72,20.00,f,2.64,3.76,35.7,36.00,21.1,57.0,3.773,-1.55,30.2,51.1,,
161,159,AGI,Ainsworth Game Tech,1.202,3.73,-4,4.79,3.50,10.00,,2.68,2.68,-,20.00,18.6,-26.3,5.879,.63,-5.8,101.7,,
162,166,AHE,Automotive Hldgs,1.171,3.82,+4,4.13,3.30,20.50,f,5.37,7.66,11.1,25.72,14.9,10.7,2.406,.88,2.4,28.7,,
163,164,IVC,InvoCare,1.160,10.54,-3,11.86,9.82,34.50,f,3.27,4.68,1.5,44.70,23.6,10.0,6.794,.46,-1.1,16.7,,
164,165,UGL,UGL,1.146,6.88,-8,8.44,5.99,5.00,,.73,.73,-44.3,24.00,28.7,-45.4,1.014,-.02,-7.1,-14.8,,
165,163,SCP,SCA Property Grp,1.145,1.765,-4.5,1.82,1.465,11.00,,6.23,6.23,-,6.70,26.3,-,1.135,1.59,20.9,-,,
166,169,FXL,FlexiGroup,1.140,3.75,-,4.99,2.98,15.50,f,4.13,5.90,16.0,23.60,15.9,16.6,3.128,.85,-11.6,23.9,,
167,167,WSA,Western Areas,1.136,4.89,-8,5.22,1.94,1.00,f,.20,.29,-81.8,-49.30,-,-88.1,4.675,1.34,66.8,-3.9,,
168,161,NUF,Nufarm,1.135,4.30,-27,5.23,3.77,8.00,f,1.86,2.66,33.3,27.00,15.9,-33.1,.682,2.90,-6.9,5.2,,
169,170,GXL,Greencross,1.130,10.21,+10,10.48,5.027,10.50,f,1.03,1.47,25.0,12.21,83.6,-46.1,23.862,-.75,86.0,112.8,,
170,168,IGO,Independence Grp,1.115,4.76,-16,4.97,2.71,4.00,f,.84,1.20,-33.3,9.98,47.7,-74.3,1.717,2.87,28.9,-3.7,,
171,174,ARI,Arrium,1.100,.805,+2.5,1.875,.73,9.00,,11.18,11.18,-16.7,-2.06,-,167.3,.295,1.34,-23.4,-13.1,,
172,171,PGH,Pact Grp Hldgs,1.088,3.70,-3,3.78,3.10,-,,-,-,-,-5.40,-,-,5.219,-.27,-,-,,
173,172,MTU,M2 Grp,1.081,5.99,+1,7.27,5.27,21.50,f,3.59,5.13,11.1,28.96,20.7,6.8,3.638,-,-,35.2,,
174,173,AHY,Asaleo Care,1.076,1.785,+.5,1.81,1.635,-,,-,-,-,-,-,-,2.303,-,-,-,,
175,175,DJW,Djerriwarrh Invest,1.071,4.90,+4,4.95,4.30,26.00,f,5.31,7.58,-,19.63,25.0,13.8,1.340,3.76,17.5,18.9,,
176,181,BRG,Breville Grp,1.067,8.20,+26,10.10,7.10,26.00,f,3.17,4.53,8.3,37.84,21.7,10.1,5.302,1.11,-3.9,45.2,,
177,178,SRX,Sirtex Medical,1.051,18.60,-1,19.38,10.78,12.00,f,.65,.92,20.0,38.70,48.1,6.0,11.922,.94,44.1,56.1,,
178,177,AOG,Aveo Grp,1.045,2.09,-2,2.39,1.055,1.00,,.48,.48,-93.5,-46.11,-,-56.7,.890,2.78,95.5,-5.0,,
179,182,APE,AP Eagers,1.037,5.85,+10,6.25,4.46,23.00,f,3.93,5.62,15.0,36.40,16.1,7.3,1.924,2.34,31.6,47.2,,
180,180,AAD,Ardent Leisure Grp,1.033,2.55,-4,2.79,1.612,12.20,,4.78,4.96,2.6,9.08,28.1,2.0,2.120,.76,47.4,41.8,,
181,179,SAI,SAI Global,1.027,4.87,-11,5.26,3.64,15.20,f,3.12,4.46,-,-21.30,-,.5,3.045,-.84,16.3,4.1,,
182,187,NST,Northern Star Res,1.013,1.725,+4.5,1.84,.625,3.50,f,2.03,2.90,40.0,3.20,53.9,29.4,9.184,.21,78.5,47.9,,
183,176,SGH,Slater & Gordon,1.011,4.95,-24,5.47,2.97,6.85,f,1.38,1.98,10.0,24.40,20.3,20.8,2.894,1.24,49.4,36.9,,
184,183,CDD,Cardno,1.009,6.18,+1,7.34,5.805,37.00,f,5.99,8.55,-,56.04,11.0,-13.5,1.595,.09,2.0,12.6,,
185,184,SFR,Sandfire Res,.984,6.32,-10,7.07,5.16,-,,-,-,-,26.98,23.4,-,4.647,1.58,1.1,-4.9,,
186,185,HTA,Hutchison,.964,.071,-.2,.14,.04,-,,-,-,-,-1.57,-,-41.7,1.471,.04,65.3,5.1,,
187,190,ZIM,Zimplats Hldgs,.963,8.95,+45,9.00,5.00,-,,-,-,-,107.47,8.3,-38.7,.961,-,42.1,-6.6,,
188,189,AUI,Aust United Invest,.946,8.67,+9,8.68,7.44,30.50,f,3.52,5.03,5.4,36.00,24.1,7.6,1.342,8.70,17.4,18.3,,
189,188,AWE,AWE,.943,1.805,+1,1.945,1.145,-,f,-,-,-,16.96,10.6,14.1,1.061,1.61,38.3,16.0,,
190,186,OGC,OceanaGold Corp,.925,3.07,-21,3.62,1.31,-,,-,-,-,25.59,12.0,-,1.399,2.35,46.9,10.3,,
191,198,TNE,Technology One,.892,2.89,+15,2.96,1.915,5.78,f,2.00,2.77,10.0,9.16,31.6,13.9,10.172,.23,51.0,44.3,,
192,193,KAR,Karoon Gas Aust,.890,3.48,-2,5.68,2.36,-,,-,-,-,-4.29,-,243.1,1.484,-,-35.1,.9,,
193,195,BKI,BKI Invest,.883,1.685,-.5,1.73,1.505,6.95,f,4.12,5.89,4.9,7.45,22.6,-2.4,1.116,1.63,14.4,20.4,,
194,192,SYR,Syrah Res,.879,5.39,-11,5.99,1.95,-,,-,-,-,-4.31,-,56.7,23.679,-,156.7,277.7,,
195,200,GWA,GWA Grp,.877,2.86,+14,3.45,2.50,6.00,f,2.10,3.00,-33.3,6.04,47.4,-17.1,2.054,.13,2.7,14.3,,
196,194,ARP,ARB Corp,.874,12.06,-21,13.35,10.46,28.50,f,2.36,3.38,12.0,57.39,21.0,10.0,4.924,2.38,.5,14.8,,
197,191,RRL,Regis Res,.857,1.715,-10,4.37,1.36,15.00,f,8.75,12.49,-,25.44,6.7,98.4,1.588,-,-58.5,-15.2,,
198,196,SIP,Sigma Pharmaceutical,.848,.765,-.5,.80,.505,4.00,f,5.23,7.46,-,4.90,15.6,-22.4,1.464,.50,27.1,22.2,,
199,197,SXL,Sthn Cross Media,.839,1.19,-1.5,1.92,1.005,9.00,f,7.56,10.80,-10.0,13.74,8.7,1.1,.536,-.63,-25.1,6.0,,
200,199,ENE,Energy Developments,.836,4.93,-1,6.59,4.80,11.00,p,2.23,2.56,-,32.60,15.1,53.6,2.638,1.67,-1.4,22.6,,
