Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
Based on Market Capitalisation at close of trade Friday, November 2, 2012,,,,,,,,,,,,,,,,,,,,
"XAO 4483.3 at 2012-11-02T16:42:06. Report at Friday, November 2, 2012. Processed Saturday at 2012-11-03T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
97,95,SGM,Sims Metal Mgt,1.875,9.18,-8,15.73,7.84,20.00,,2.18,2.18,-57.5,-253.30,-,-63.8,.783,8.59,-27.0,-22.6,,
98,97,TPM,TPG Telecom,1.865,2.35,-1,2.42,1.27,5.50,f,2.34,3.34,22.2,11.50,20.4,14.0,3.158,.09,70.5,15.2,,
99,99,AIX,Aust Infrastructure Fd,1.831,2.95,-2,3.26,1.855,10.50,p,3.56,4.00,5.0,31.57,9.3,-7.7,.981,3.01,63.8,25.9,,
100,100,IOF,Investa Office Fd,1.824,2.97,-2,3.045,2.343,15.60,,5.25,5.25,-37.5,16.00,18.6,1.3,.947,3.14,31.4,15.3,,
101,105,CRZ,carsales.com,1.764,7.50,+19,8.03,4.395,24.50,f,3.27,4.67,23.1,30.60,24.5,25.0,13.738,.20,71.2,23.4,,
102,106,BPT,Beach Energy,1.757,1.39,+4,1.763,.88,2.25,f,1.62,2.31,30.2,14.43,9.6,78.3,1.090,1.28,1.5,21.1,,
103,102,UGL,UGL,1.748,10.51,-10,13.90,10.15,70.00,f,6.66,9.51,-,80.80,13.0,6.3,1.487,-.94,-10.0,-2.1,,
104,101,SKC,SkyCity Entertain,1.731,3.00,-9,3.16,2.40,12.35,p,4.12,5.07,7.0,18.79,16.0,10.8,2.732,.54,22.0,8.7,,
105,103,SUL,Super Retail Grp,1.716,8.74,-7,9.14,5.24,32.00,f,3.66,5.23,17.1,46.10,19.0,14.4,2.492,.24,65.7,24.9,,
106,104,CGF,Challenger,1.705,3.13,-4,4.62,3.05,18.00,,5.75,5.75,9.1,28.80,10.9,15.5,.834,2.22,-21.6,-4.8,,
107,108,ALZ,Australand Prop,1.702,2.95,-,3.13,2.19,21.50,,7.29,7.29,4.9,25.20,11.7,-12.7,.751,3.46,22.3,13.6,,
108,109,AUT,Aurora Oil & Gas,1.689,3.77,-2,4.26,2.84,-,,-,-,-,8.13,46.4,-,6.234,-,12.9,135.1,,
109,110,BKW,Brickworks,1.610,10.89,-24,11.50,9.70,40.50,f,3.72,5.31,-,29.30,37.2,-21.8,.968,9.44,2.8,-1.2,,
110,107,MSB,Mesoblast,1.608,5.60,-34,8.32,5.36,-,,-,-,-,-25.15,-,420.7,3.358,.40,-17.9,56.9,,
111,111,BSL,BlueScope Steel,1.608,.48,-1,.69,.245,-,,-,-,-100.0,-39.10,-,61.7,.425,.91,26.3,-40.0,,
112,113,SKT,Sky Network TV,1.588,4.08,-2,4.38,3.70,17.11,,4.19,4.19,19.8,24.88,16.4,4.5,1.617,.42,3.8,7.6,,
113,112,ALL,Aristocrat Leisure,1.555,2.82,-8,3.25,2.16,8.00,,2.84,2.84,30.0,14.00,20.1,20.3,6.167,.33,21.4,-9.6,,
114,116,HDF,Hastings Divers,1.552,2.77,+7,2.80,1.64,10.00,,3.61,3.61,-16.7,-36.22,-,-,3.387,-,68.3,48.0,,
115,114,MIN,Mineral Res,1.510,8.16,-34,13.33,6.19,46.00,f,5.64,8.05,9.5,132.30,6.2,10.8,1.647,4.55,-27.6,10.8,,
116,115,NVT,Navitas,1.498,3.99,-17,4.55,2.83,19.50,f,4.89,6.98,-5.8,19.50,20.5,.5,6.413,-.55,25.4,7.0,,
117,117,DOW,Downer EDI,1.498,3.49,-3,4.11,2.89,-,,-,-,-,23.72,14.7,-34.9,.926,2.42,13.3,-23.5,,
118,118,NUF,Nufarm,1.471,5.60,-10,6.30,3.99,6.00,f,1.07,1.53,-,22.30,25.1,19.4,.996,2.88,19.3,-20.1,,
119,124,IFL,IOOF Hldgs,1.464,6.37,+36,6.46,5.02,37.00,f,5.81,8.30,-14.0,8.40,75.8,-14.1,1.769,.12,22.4,9.7,,
120,122,ENV,Envestra,1.443,.90,+3,.95,.635,5.80,,6.44,6.44,2.6,4.90,18.4,53.5,2.461,-.01,44.9,33.6,,
121,120,QUB,Qube Logistics,1.428,1.545,+.5,1.79,1.285,4.10,f,2.65,3.79,7.9,-.31,-,-,1.309,.45,12.4,23.9,,
122,119,AGO,Atlas Iron,1.384,1.53,-5,3.43,1.145,3.00,,1.96,1.96,-100.0,-13.00,-,-,.742,1.90,-45.6,-5.9,,
123,125,DJS,David Jones,1.375,2.60,+2,3.37,2.10,17.50,f,6.73,9.62,-37.5,19.40,13.4,-40.1,1.772,1.29,-1.0,-18.0,,
124,126,EVN,Evolution Mining,1.373,1.94,+4,2.14,1.24,-,,-,-,-,7.10,27.3,-,1.300,1.47,3.8,4.5,,
125,123,TME,Trade Me Grp,1.327,3.35,-17,3.55,2.14,6.16,,1.84,1.84,-,14.96,22.4,-,2.653,-.27,-,-,,
126,128,DLX,DuluxGroup,1.277,3.46,+1,3.55,2.60,15.00,f,4.34,6.19,400.0,25.50,13.6,-54.0,9.221,.19,28.1,-,,
127,127,HGG,Henderson Grp,1.272,1.80,-2,2.05,1.33,11.16,,6.20,6.20,-22.8,10.10,17.8,-19.3,1.064,-,15.0,-3.5,,
128,129,SFR,Sandfire Res,1.268,8.30,+3,9.06,6.01,-,,-,-,-,-15.85,-,-17.3,10.812,-,31.8,31.6,,
129,131,YAL,Yancoal Aust,1.244,1.04,+2,1.70,.80,-,,-,-,-,-,-,-,-,-,-,-,,
130,133,LYC,Lynas Corp,1.227,.715,+3,1.625,.56,-,,-,-,-,-5.12,-,44.6,2.178,-,-41.1,5.7,,
131,130,KAR,Karoon Gas Aust,1.218,5.50,-10,6.85,3.12,-,,-,-,-,-1.48,-,-83.0,2.028,-,17.0,-10.6,,
132,134,CQR,Charter Hall Ret REIT,1.209,3.68,+11,3.73,2.95,26.10,,7.09,7.09,5.2,3.24,113.6,3.0,1.193,3.38,23.3,18.3,,
133,141,RSG,Resolute Min,1.198,1.895,+14,2.21,1.21,5.00,p,2.64,3.25,-,18.62,10.2,104.7,2.206,.86,-.8,19.0,,
134,138,PPT,Perpetual,1.184,28.20,+119,28.28,19.03,90.00,f,3.19,4.56,-51.3,68.60,41.1,20.0,4.221,3.23,46.5,.4,,
135,148,MML,Medusa Min,1.169,6.19,+56,7.25,4.31,7.00,,1.13,1.13,-30.0,25.61,24.2,-53.2,3.775,1.64,9.1,18.9,,
136,132,SWM,Seven West Media,1.159,1.16,-5,3.847,1.09,25.00,f,21.55,30.78,-44.4,33.30,3.5,-42.1,.442,-,-58.6,-40.4,,
137,135,PRU,Perseus Min,1.136,2.48,-6,3.66,2.12,-,,-,-,-,10.56,23.5,-,3.156,-,-12.7,11.9,,
138,136,MYR,Myer Hldgs,1.135,1.945,-3.5,2.64,1.525,19.00,f,9.77,13.95,-15.6,23.90,8.1,-14.8,1.293,-.14,-10.4,-12.5,,
139,121,TPI,Transpacific Indust,1.129,.715,-17.5,.95,.675,-,,-,-,-,.90,79.4,4.6,.525,.07,-4.7,-16.0,,
140,137,GFF,Goodman Fielder,1.115,.57,-1,.735,.372,2.50,,4.39,5.23,-100.0,-8.30,-,-40.1,.811,-.03,9.7,-22.0,,
141,143,CDD,Cardno,1.113,8.01,+11,8.64,4.946,36.00,p,4.49,5.84,8.1,59.81,13.4,13.9,2.027,.30,59.2,31.5,,
142,139,BWP,BWP Trust,1.099,2.06,-4,2.15,1.655,13.50,,6.55,6.55,22.4,13.40,15.4,8.2,1.129,1.85,27.2,13.7,,
143,144,FXL,FlexiGroup,1.088,3.79,-1,3.97,1.80,12.50,f,3.30,4.71,19.1,21.50,17.6,13.3,4.017,.58,77.9,36.3,,
144,150,VAH,Virgin Australia,1.072,.485,+2.5,.505,.285,-,,-,-,-,1.00,48.5,-,1.153,.38,42.7,-2.6,,
145,147,SDL,Sundance Res,1.067,.35,-,.49,.265,-,,-,-,-,-.79,-,6.8,4.682,-,-7.9,32.6,,
146,146,AHD,Amalgamated Hldgs,1.066,6.76,-10,7.16,5.52,39.00,f,5.77,8.24,5.4,50.60,13.4,6.4,1.241,5.12,25.9,12.9,,
147,140,AQA,Aquila Res,1.062,2.58,-12,6.83,1.86,-,,-,-,-,-.06,-,-,2.078,-,-56.2,-32.0,,
148,145,AIZ,Air New Zealand,1.024,.93,-5.5,1.04,.65,3.64,,3.91,3.91,1.3,5.09,18.3,-15.6,.775,1.16,31.4,2.5,,
149,149,CNU,Chorus,1.013,2.63,-6,2.95,2.18,-,,-,-,-,-,-,-,2.454,-,9.9,-,,
150,151,CMW,Cromwell Property,1.008,.825,+.5,.84,.645,7.06,,8.56,8.56,-,2.16,38.2,-2.8,1.278,.67,40.0,14.1,,
