Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
Based on Market Capitalisation at close of trade Friday, October 26, 2012,,,,,,,,,,,,,,,,,,,,
"XAO 4496.3 at 2012-10-26T16:43:06. Report at Friday, October 26, 2012. Processed Saturday at 2012-10-27T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
128,131,DLX,DuluxGroup,1.273,3.45,+5,3.54,2.52,15.00,f,4.35,6.21,400.0,25.50,13.5,-54.0,9.194,.19,37.6,-,,
129,125,SFR,Sandfire Res,1.263,8.27,-72,9.06,6.01,-,,-,-,-,-15.85,-,-17.3,10.771,-,20.9,31.9,,
130,130,KAR,Karoon Gas Aust,1.240,5.60,-14,6.85,3.12,-,,-,-,-,-1.48,-,-83.0,2.065,-,25.3,-10.0,,
131,129,YAL,Yancoal Aust,1.224,1.02,-6,1.70,.80,-,,-,-,-,-,-,-,-,-,-,-,,
132,132,SWM,Seven West Media,1.209,1.21,-3.5,3.847,1.09,25.00,f,20.66,29.51,-44.4,33.30,3.6,-42.1,.462,-,-60.5,-38.7,,
133,136,LYC,Lynas Corp,1.176,.685,-,1.625,.56,-,,-,-,-,-5.12,-,44.6,2.086,-,-43.2,12.2,,
134,138,CQR,Charter Hall Ret REIT,1.173,3.57,+3,3.68,2.95,26.10,,7.31,7.31,5.2,3.24,110.2,3.0,1.158,3.38,18.1,13.0,,
135,134,PRU,Perseus Min,1.163,2.54,-13,3.66,2.12,-,,-,-,-,10.56,24.1,-,3.232,-,-18.9,19.9,,
136,137,MYR,Myer Hldgs,1.155,1.98,-1.5,2.64,1.525,19.00,f,9.60,13.71,-15.6,23.90,8.3,-14.8,1.316,-.14,-16.8,-,,
137,146,GFF,Goodman Fielder,1.134,.58,+4,.735,.372,2.50,,4.31,5.14,-100.0,-8.30,-,-40.4,.825,-.03,5.5,-22.9,,
138,135,PPT,Perpetual,1.134,27.01,-100,28.28,19.03,90.00,f,3.33,4.76,-51.3,68.60,39.4,20.0,4.043,3.23,22.9,-5.4,,
139,143,BWP,BWP Trust,1.121,2.10,+3,2.145,1.64,13.50,,6.43,6.43,22.4,13.40,15.7,8.2,1.151,1.85,36.6,16.3,,
140,141,AQA,Aquila Res,1.112,2.70,-5,6.83,1.86,-,,-,-,-,-.06,-,-,2.175,-,-50.5,-20.6,,
141,133,RSG,Resolute Min,1.109,1.755,-18.5,2.21,1.21,5.00,p,2.85,3.50,-,18.62,9.4,104.7,2.043,.86,8.4,36.2,,
142,147,ARI,Arrium,1.101,.815,+3.5,1.375,.50,6.00,,7.36,7.36,-40.0,4.30,19.0,16.6,.245,1.20,-28.4,-32.3,,
143,145,CDD,Cardno,1.098,7.90,+8,8.64,4.946,36.00,p,4.56,5.92,8.1,59.81,13.2,13.9,2.000,.30,61.5,27.1,,
144,151,FXL,FlexiGroup,1.091,3.80,+28,3.84,1.80,12.50,f,3.29,4.70,19.1,21.50,17.7,13.3,4.028,.58,76.8,43.0,,
145,144,AIZ,Air New Zealand,1.084,.985,-.5,1.04,.65,3.64,,3.70,3.70,1.3,5.09,19.4,-15.6,.820,1.16,25.5,3.9,,
146,142,AHD,Amalgamated Hldgs,1.082,6.86,-24,7.16,5.52,39.00,f,5.69,8.12,5.4,50.60,13.6,6.4,1.259,5.12,28.8,13.8,,
147,148,SDL,Sundance Res,1.067,.35,+1,.49,.265,-,,-,-,-,-.79,-,6.8,4.682,-,-19.5,31.2,,
148,140,MML,Medusa Min,1.064,5.63,-48,7.25,4.31,7.00,,1.24,1.24,-30.0,25.61,22.0,-53.2,3.433,1.64,-14.2,24.9,,
