Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
Based on Market Capitalisation at close of trade Friday, July 31, 2015,,,,,,,,,,,,,,,,,,,,
"XAO 5681.7 at 2015-07-31T16:43:36. Report at Friday, July 31, 2015. Processed Saturday at 2015-08-01T23:15:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
132,137,CQR,Charter Hall Ret REIT,1.619,4.31,+11,4.67,3.72,27.50,,6.38,6.38,-100.0,40.66,10.6,-20.7,1.290,3.52,14.7,15.3,,
133,126,LNG,Liquefied Natural,1.610,3.20,-32,5.00,1.785,-,,-,-,-,-9.49,-,47.8,33.821,-,-12.3,106.2,,
134,130,NHC,New Hope Corp,1.587,1.91,-7.5,3.143,1.84,6.00,f,3.14,4.49,-27.3,1.50,127.3,-67.2,.804,2.24,-33.6,-18.1,,
135,138,NHF,NIB Hldgs,1.563,3.56,-1,3.885,2.75,11.25,f,3.16,4.51,10.0,16.30,21.8,11.9,4.386,.54,16.8,38.4,,
136,128,NVT,Navitas,1.554,4.13,-43,5.61,3.98,19.50,f,4.72,6.74,-,19.10,21.6,11.2,7.521,-.54,-13.4,5.9,,
137,134,VAH,Virgin Australia,1.552,.44,-2,.56,.36,-,,-,-,-,-9.80,-,-10.4,1.481,.18,8.7,3.4,,
138,139,IIN,iiNet,1.547,9.40,+3,10.18,6.12,23.50,f,2.50,3.57,15.8,39.30,23.9,7.5,4.345,-1.80,26.8,47.1,,
139,136,GNE,Genesis Energy,1.545,1.545,-4.5,2.45,1.51,13.57,,8.78,8.78,-,6.52,23.7,-,.884,-,-1.1,-,,
140,141,SCP,SCA Property Grp,1.544,2.14,+7,2.24,1.65,11.40,,5.33,5.33,96.4,25.70,8.3,236.9,1.449,1.73,27.6,-,,
141,140,BKL,Blackmores,1.524,88.50,+61,89.25,27.72,151.00,f,1.71,2.44,-,186.40,47.5,.9,14.626,4.47,223.7,50.8,,
