ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4056.7 at 2011-08-08T16:36:02. Report at Monday, August 8, 2011. Processed Tuesday at 2011-08-09T01:00:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
Mithril Resources,MTH,.074,.09,.09,,
Moly Mines,MOL,.51,.685,.61,,
Mount Gibson Iron,MGX,1.43,1.78,1.78,,
Multiplex Sites sites,MXUPA,73.00,79.50,78.25,,
National Aust Bank,NAB,20.80,23.95,23.29,,
NetComm,NTC,.096,.12,.12,,
Nexus Energy,NXS,.22,.27,.27,,
NKWE Platinum,NKP,.20,.27,.225,,
Noni B,NBL,.40,.46,.46,,
North Aust Diamonds,NAD,.22,.23,.23,,
Northern Iron,NFE,1.37,1.66,1.66,,
Nuplex Industries,NPX,1.94,2.15,2.15,,
Nyota Minerals,NYO,.125,.16,.16,,
OBJ,OBJ,.016,.02,.02,,
OceanaGold Corp cdi,OGC,1.86,2.17,2.17,,
OM Hldgs,OMH,.755,.885,.86,,
OneSteel,OST,1.39,1.75,1.75,,
Orica,ORI,23.05,25.68,25.68,,
Origin Energy,ORG,13.23,14.58,14.58,,
Orocobre,ORE,1.44,2.03,1.80,,
OrotonGroup,ORL,6.41,7.24,7.19,,
Orrex Res,ORX,.14,.185,.15,,
Pacific Brands,PBG,.605,.65,.635,,
Paladin Energy,PDN,2.06,2.55,2.30,,
Panoramic Res,PAN,1.33,1.78,1.68,,
PaperlinX SPS Tr pref,PXUPA,24.00,29.50,26.00,,
Paynes Find Gold,PNE,.08,.099,.099,,
Peet 9.5% cn,PPCG,99.00,100.00,100.00,,
Phosphate Aust,POZ,.086,.092,.092,,
Photon Grp,PGA,.029,.036,.036,,
Pioneer Res,PIO,.028,.034,.031,,
Platinum Asset,PTM,3.60,3.89,3.89,,
Platinum Aust,PLA,.21,.29,.29,,
Platinum Capital,PMC,1.04,1.15,1.14,,
Pluton Res,PLV,.22,.29,.29,,
Potash West NL,PWN,.155,.18,.18,,
Praemium,PPS,.10,.13,.125,,
Preferred Capital perls iii,PCAPA,177.05,185.20,183.55,,
Qantas Airways,QAN,1.595,1.84,1.80,,
QBE Insurance Grp,QBE,14.13,16.33,16.33,,
QLD Mining Corp,QMN,.052,.068,.068,,
Quest Petroleum,QPN,.003,.004,.004,,
Quickstep Hldgs,QHL,.19,.225,.21,,
Radar Iron,RAD,.15,.20,.20,,
Real Estate Cap unt,RCU,.60,.75,.75,,
Retail Food Grp,RFG,2.12,2.37,2.33,,
REVA Medical cdi,RVA,.70,.75,.75,,
Rex Minerals,RXM,1.80,2.20,2.20,,
Ridley Corp,RIC,1.12,1.19,1.19,,
Riedel Resources,RIE,.09,.12,.105,,
Rio Tinto,RIO,68.09,79.90,79.90,,
Rock Bldg Society perm. ord,ROK,2.01,2.09,2.05,,
Royal Res,ROY,.135,.165,.16,,
Royal Wolf Hldgs,RWH,1.94,2.10,2.04,,
Rumble Res Ltd,RTR,.19,.195,.195,,
Russell High Div etf unt,RDV,21.07,23.02,23.02,,
Salmat,SLM,3.25,3.40,3.36,,
Santos,STO,11.17,12.75,12.60,,
Schaffer Corp,SFC,3.15,3.40,3.30,,
Sedgman,SDM,1.53,1.86,1.815,,
Select Harvests,SHV,1.46,1.715,1.715,,
Shaw River Manganese,SRR,.125,.16,.16,,
Sherwin Iron,SHD,.063,.083,.083,,
Signature Capital,SGI,.25,.28,.27,,
Silver Chef,SIV,2.60,3.30,3.30,,
Silver Swan Grp,SWN,.095,.105,.105,,
Sims Metal Mgt,SGM,14.69,16.60,16.60,,
Sirius Res,SIR,.09,.12,.12,,
SMS Management,SMX,5.64,6.08,5.95,,
Soul Pattinson,SOL,11.50,12.71,12.70,,
SPDR 200 Financials etf unt,OZF,12.20,13.54,13.48,,
SPDR 200 Fund etf unt,STW,37.26,41.35,41.35,,
SPDR 200 Resources etf unt,OZR,11.69,13.30,13.03,,
SPDR 50 Fund etf unt,SFY,37.50,42.40,42.40,,
SPDR Prop Fund etf unt,SLF,6.57,7.19,7.19,,
SPDR Small Ords etf unt,SSO,12.48,13.98,13.15,,
SPDR MSCI Aus Sel HDY etf unt,SYI,20.72,22.90,22.90,,
Specialty Fashion,SFH,.67,.785,.78,,
Sthn Cross Elect Engnr,SXE,.745,.85,.825,,
Sthn Cross Media,SXL,1.185,1.37,1.285,,
Sthn Cross Res,SWR,.20,.22,.22,,
Stockland stp,SGP,2.66,3.04,3.04,,
Stonehenge Metals,SHE,.07,.09,.076,,
Sumatra Copper cdi,SUM,.175,.215,.215,,
Suncorp Grp,SUN,6.44,7.36,7.36,,
Suncorp-Metway cap. note,SBKHB,65.50,67.25,66.95,,
  5.068%prf,SBKPA,89.50,99.40,99.40,,
Talent2 International,TWO,1.10,1.35,1.32,,
Tamawood,TWD,2.13,2.32,2.28,,
Tap Oil,TAP,.735,.83,.82,,
Tassal Grp,TGR,1.245,1.40,1.355,,
Tectonic Res,TTR,.044,.054,.054,,
Ten Network Hldgs,TEN,.91,1.07,1.02,,
